gene	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site	degree	closeness	betweenness	eigenvector	kcore	clusteringcoeff	leverage	bridging	average_neighbors	class
SMARCC2	8.0	2.0	2.0	0.0	103.0	15.0	0.0	6.0	0.0	0.05290001961681815	0.4927186030027708	0.00012316296309460448	0.009100325789932423	396	0.2769921306098471	0.0628	8.474996717342446e-08	993.7663782447464	
SPRY4	1.0	0.0	0.0	0.0	25.0	1.0	0.0	1.0	0.0	0.0417838226639639	0.4907894736842106	2.174722946363065e-05	0.008561681038953509	378	0.4622524418541903	-0.1557	3.887693010405838e-08	1189.5712050078248	
ENTPD1	3.0	0.0	0.0	0.0	37.0	6.0	0.0	3.0	0.0	0.08140979533119727	0.508579980046558	0.0001222997600181029	0.015649551218369622	396	0.23816681517065044	0.1587	5.264075523240392e-08	1122.2730923694776	
DIS3L2	4.0	0.0	0.0	0.0	73.0	5.0	1.0	3.0	0.0	0.0219054469365069	0.4809270731784018	9.665702436617591e-05	0.0017664935949411945	225	0.1966216820091161	-0.0867	2.4360368856295977e-07	633.3701492537314	
KLHL21	0.0	1.0	0.0	0.0	32.0	3.0	0.0	0.0	0.0	0.019812986333616688	0.4633821167772626	2.464448046210264e-06	0.002317688477888193	274	0.7144668109195026	-0.3574	1.4747338295179924e-08	966.973597359736	
ZNF853	0.0	0.0	0.0	0.0	16.0	2.0	0.0	0.0	0.0	0.053750081736742304	0.4935454721487123	4.835769430573281e-06	0.013302032119818908	472	0.7360971576411177	-0.1224	6.97525228684772e-09	1253.3467153284669	
HYAL2	0.0	0.0	0.0	0.0	34.0	2.0	0.0	1.0	0.0	0.0035310272673772314	0.4552301006132048	5.583086087074793e-07	0.0010913235975288373	51	0.4556254367575122	-0.8077	7.050550755532643e-08	2019.2962962962963	
BICDL1	2.0	1.0	1.0	0.0	37.0	5.0	0.0	2.0	0.0	0.016870463610802328	0.4602582237337106	3.9081945114335295e-06	0.0012828296230379425	221	0.5783790305553042	-0.3926	3.243525809975562e-08	787.6356589147287	
MKNK1	2.0	0.0	1.0	0.0	31.0	0.0	0.0	1.0	0.0	0.03563721964297392	0.4921002670785468	2.719067805461385e-05	0.008878383358358955	374	0.3816109012412304	-0.2851	6.244369095654937e-08	1457.6	
PWP2	2.0	3.0	0.0	0.0	56.0	1.0	0.0	2.0	0.0	0.023867128751716468	0.46116036427235996	2.8141930727612463e-05	0.0011595698734792775	255	0.5792111997591449	-0.0495	6.631496840138763e-08	533.0356164383562	
