gene	average_neighbors
16-5-5	993.0119047619048
CDC42	678.5438904494382
PARD3	742.4323499491353
PARD3B	1007.4233009708738
EP300	659.1712056931709
A2M	881.8525296017223
RAC1	684.3111571317629
RAC2	752.659101023587
RAC3	782.8569140416445
RHOA	736.594165958652
AURKB	753.9932279909707
BIRC5	728.0033840947547
CDCA8	671.1061151079136
DYNC1H1	671.1756978653531
DYNC1I1	571.5535117056857
DYNC1I2	573.6498516320474
DYNC1LI1	590.840506329114
DYNC1LI2	578.3224699828473
DYNLL1	539.3009072580645
DYNLL2	559.1470588235294
INCENP	658.7109515260323
NUP107	660.9658314350797
NUP133	648.7869757174393
NUP160	636.4433497536946
NUP37	690.9544973544973
NUP43	640.5
NUP85	656.2825112107623
NUP98	671.4459161147903
RANBP2	634.594385285576
RANGAP1	719.6189189189189
SEC13	529.8561034761519
SEH1L	586.7098214285714
XPO1	625.81442915582
ACTR2	667.6494762288477
ACTR3	729.8826291079812
AREG	796.5775803144224
ARPC1A	714.4896480331263
ARPC2	735.2806451612903
ARPC3	720.948905109489
ARPC4	725.4194236926361
ARPC5	723.9676409185804
BTC	914.7512487512488
CBL	727.4496779388083
EGF	810.35822147651
EGFR	691.343739395996
EPGN	936.4819277108434
EREG	940.6440101954121
GRB2	705.2619704186513
HBEGF	861.6244087038789
ITSN1	690.7388663967612
OCRL	720.071630537229
RPS27A	638.3975319524019
SH3GL2	744.4666666666667
SH3KBP1	740.9171038824763
TGFA	805.8760991207034
TRIP10	753.8412391093901
UBA52	646.6304591265398
UBB	648.7907662082515
UBC	658.0500882612533
VAMP2	770.5037037037036
WASL	766.7346348517715
ACTA2	640.8018292682926
PAFAH1B1	590.639405204461
NGFR	851.357316087308
SRC	707.4887417218544
ARHGEF11	899.0282776349615
ARHGEF12	938.5809128630706
NFATC2	952.5828677839851
TP53	636.1563384712174
EZR	845.1492776886035
IQGAP1	851.9465020576132
MAPRE1	570.3027932960894
ABL1	728.8106958371316
ACTB	572.2707117852975
ACTG1	524.0601659751037
ARPC1B	655.8376865671642
ARPC5L	856.7751322751323
BAIAP2	871.6140142517814
DIAPH1	939.3762993762994
DIAPH3	1018.9661835748792
EPS8	1036.4906976744187
FYN	676.9367124856816
ITGB1	756.4522123893805
LCK	759.1458955223881
PIK3R1	721.8710417622763
PLCG1	716.4904458598726
SOS1	735.0833693304536
WAS	753.4221052631578
YES1	849.3575235752357
NCK2	789.2233676975945
VASP	894.4880611270296
WIPF1	991.3033088235294
ABR	984.6786570743405
BCAR1	772.7372068230277
BCR	880.8918518518518
BNIP2	1229.45
BOC	1343.177536231884
CDH15	588.5744680851063
CDH2	770.3831615120275
CDON	1200.4028985507246
CLASP1	634.7774420946627
CLASP2	648.9939148073022
CRK	682.671552660152
CRKL	771.8208057726999
CTNNA1	674.1819407008086
CTNNA2	547.5901960784314
CTNNB1	692.3658536585366
CTNND1	731.8884422110552
ENAH	893.457711442786
EPHB2	925.8148734177215
EPHB3	1041.263005780347
JAK2	794.2155671296297
LRRK2	851.7995365005794
MAP2K6	911.4313725490196
MAPK11	824.0200439319055
MAPK12	849.9474363108675
MAPK14	789.4223107569721
MTOR	802.4851321585903
NCK1	694.6605504587156
NTRK2	916.9623376623376
PAK2	795.2286465177398
PAK4	935.6130434782609
ROBO1	976.5248226950355
SFN	683.5359435173299
SLIT2	1250.2790697674418
SPAG9	1302.3650793650793
VAV1	707.0658174097665
YWHAG	603.5843035791289
YWHAZ	656.9569249177385
MET	795.3769987699877
ABLIM1	887.1934731934732
DCC	1110.1832358674465
DOCK1	691.619140625
NTN1	1204.9978768577494
PTK2	759.3267326732673
TRIO	964.0741885625966
ABLIM2	1026.1044303797469
ABLIM3	1055.0867768595042
YWHAQ	632.1281767955801
SPI1	733.9661495063469
PTEN	763.4148936170212
AGRN	708.4338498212157
ARHGAP4	925.1885714285714
ARHGEF6	831.3486766398158
PLD1	1101.6631944444443
ARHGAP25	821.5820895522388
GDI1	468.4836193447738
RAP1A	904.4123825317855
MAPK8	809.0510080155453
CXCR4	871.3246315789473
