gene	betweenness
-	0.0026024160788979092
16-5-5	4.647544102726203e-05
A1CF	0.00034851010262434024
A2M	0.0002557437198914309
A4GNT	4.523655343519779e-05
AAAS	2.6083453835551117e-05
AAG1	3.4107934651781653e-06
AAGAB	1.9030325396857943e-06
AAK1	1.9474113379331663e-05
AAMP	3.024400260574407e-08
AANAT	4.720257140969273e-05
AAR2	7.326045980829276e-07
AARS	4.047579594360143e-06
AARS2	1.4207497102965356e-08
AARSD1	3.5516386150775903e-06
AASDHPPT	0.00013232953405201272
AASS	6.47821368970154e-08
AATF	3.314828835081903e-05
AATK	2.805367531465277e-05
ABAT	0.0
ABCA1	0.0005969249782866304
ABCA12	1.9479930146366394e-06
ABCA2	3.6479529163036185e-05
ABCA4	2.861718824367078e-07
ABCA7	1.662292341403898e-06
ABCB1	7.473453687064543e-05
ABCB11	6.759340257463351e-07
ABCB4	1.2033485502825921e-06
ABCB5	2.4872042059792125e-08
ABCB7	6.356892846511432e-06
ABCB8	3.917276336917203e-06
ABCC1	1.2220085406387362e-05
ABCC2	0.00040120135633620513
ABCC3	2.9687928228969187e-07
ABCC8	2.157603547302831e-05
ABCC9	6.746180424485183e-06
ABCD1	2.902969343694582e-06
ABCD2	7.05305802245986e-06
ABCD3	1.5458369138309553e-06
ABCD4	6.96158423456382e-05
ABCE1	5.1550448913053844e-05
ABCF1	2.7330767266207394e-05
ABCF2	2.994416760369101e-07
ABCF3	2.9677180395087994e-06
ABCG1	0.00014204759389360773
ABCG2	4.065696413217538e-08
ABCG4	5.117639726401452e-07
ABCG5	5.117639726401452e-07
ABCG8	9.231627748451444e-08
ABHD14B	3.948879927829543e-05
ABHD15	2.2769978830384456e-06
ABHD4	4.574790931988798e-06
ABHD5	4.910121059782228e-06
ABI1	9.82177976462435e-05
ABI2	9.052869349919009e-05
ABI3	1.0068672139947606e-05
ABI3BP	2.717838666082039e-07
ABL1	0.002711912296308351
ABL2	3.489187779951692e-05
ABLIM1	0.000246485809918071
ABLIM2	1.955192739724611e-05
ABLIM3	5.136693232777646e-05
ABP1	7.529993889545678e-05
ABR	8.132622860186892e-06
ABRA	4.255542166687884e-06
ABRAXAS1	9.903174107734345e-06
ABRAXAS2	7.384255278249987e-06
ABT1	6.876229756710671e-06
ABTB1	9.773429403644504e-06
ABTB2	2.3859261713429794e-06
ACAA1	2.454171603659596e-05
ACAA2	7.558030341410221e-06
ACACA	0.00026334340826545993
ACACB	9.736607596925709e-05
ACAD8	2.0467405749592303e-06
ACAD9	4.552698560620009e-07
ACADL	9.294261042245431e-06
ACADM	3.4200876713987105e-05
ACADSB	3.1306678086333194e-06
ACAN	0.00042939925758048023
ACAP1	1.073369466294604e-05
ACAP2	2.9666871297367992e-05
ACAP3	1.5094620157570972e-06
ACAT1	8.80689357286257e-06
ACAT2	4.2770235505371964e-05
ACBD3	1.1526623141417546e-05
ACBD5	3.020766566671119e-07
ACCN1	1.7707262729888672e-06
ACCN2	9.908286987075266e-06
ACCN3	3.2430313608650294e-06
ACCS	6.187207988969e-08
ACD	1.9446721053623256e-05
ACE	2.7586991105673565e-05
ACE2	1.8281202488121126e-06
ACHE	4.399150238080075e-05
ACIN1	2.065304854836666e-05
ACKR1	1.2232483654506414e-06
ACKR2	9.121572844170755e-07
ACKR3	3.171985860763144e-05
ACKR4	9.204644011063213e-07
ACLY	8.176205496413365e-05
ACMSD	2.3820510717874092e-07
ACO1	0.00018661730352831073
ACO2	2.6511333685795003e-05
ACON	6.749052723191924e-07
ACOT1	8.66775378127015e-06
ACOT11	0.0
ACOT12	0.0
ACOT13	0.0
ACOT2	3.7267539654037165e-06
ACOT4	2.747807818656724e-10
ACOT7	0.000672174040705466
ACOT7L	0.0
ACOT8	6.806527034795537e-05
ACOT9	6.378354703942019e-09
ACOX1	6.830505424763205e-05
ACOX2	3.53948127672915e-05
ACOX3	6.051919988064566e-05
ACP1	8.14885775543445e-06
ACP5	0.00011892212509145004
ACP6	8.881192136035473e-07
ACPP	8.87331824096701e-06
ACR	5.606725913751959e-05
ACRV1	1.537728168335908e-07
ACSBG1	1.2183552623499192e-06
ACSBG2	1.2183552623499192e-06
ACSL1	1.2183552623499192e-06
ACSL3	1.5943449235550167e-05
ACSL4	1.2183552623499192e-06
ACSL5	1.2183552623499192e-06
ACSL6	3.5049156194559397e-06
ACSM3	7.7058081334679e-06
ACSS1	3.4219221820385414e-08
ACSS2	6.010694636497899e-05
