gene	bridging
-	1.8446766946267113e-07
16-5-5	9.012338315761478e-08
A1CF	1.2666509338695255e-07
A2M	1.1840421906518187e-07
A4GNT	6.489647427936842e-07
AAAS	2.9758575871964894e-08
AAG1	6.744786033152732e-08
AAGAB	7.77020314586726e-08
AAK1	2.920551344070004e-08
AAMP	1.81013168560111e-08
AANAT	1.774978532811908e-07
AAR2	1.2000185191511872e-08
AARS	7.105951801933068e-08
AARS2	2.935893218569025e-09
AARSD1	4.048776811408285e-08
AASDHPPT	1.7211908192018315e-07
AASS	2.12835896692533e-07
AATF	6.697713244736807e-08
AATK	5.2829937289677705e-08
ABAT	0.0
ABCA1	2.6918320728819467e-07
ABCA12	1.581449059665436e-07
ABCA2	6.882508585173818e-08
ABCA4	7.403597282384302e-08
ABCA7	7.900746632073178e-08
ABCB1	5.891895184142855e-08
ABCB11	8.122634028325236e-08
ABCB4	1.0618301803678526e-07
ABCB5	9.069777675459082e-08
ABCB7	8.811776085079809e-07
ABCB8	1.611305910436574e-07
ABCC1	5.902066831969922e-08
ABCC2	9.009911447942202e-08
ABCC3	6.208760051256073e-08
ABCC8	4.3606990154336376e-08
ABCC9	1.8910959595712668e-07
ABCD1	1.4270333567991904e-07
ABCD2	1.9221359924650359e-07
ABCD3	9.980544491769882e-08
ABCD4	2.5501337691857443e-07
ABCE1	1.6155227713468829e-07
ABCF1	1.0381708876641685e-07
ABCF2	6.532113153195623e-08
ABCF3	2.2933568305017275e-07
ABCG1	1.284320335803284e-07
ABCG2	2.5385008855018113e-08
ABCG4	2.392831570904476e-07
ABCG5	2.392831570904476e-07
ABCG8	1.969164667909928e-08
ABHD14B	6.476591672206182e-08
ABHD15	5.292744873280023e-08
ABHD4	2.733741369399168e-07
ABHD5	2.811769931466066e-07
ABI1	6.649287068373215e-08
ABI2	1.9338168562696082e-07
ABI3	2.615664798255588e-07
ABI3BP	1.2288252800595407e-07
ABL1	9.512643935459165e-08
ABL2	5.06654854848577e-08
ABLIM1	1.5185939754590982e-07
ABLIM2	3.130045365036441e-08
ABLIM3	5.818525123657871e-08
ABP1	3.829333667692442e-06
ABR	2.684427939086599e-08
ABRA	7.039635028303778e-08
ABRAXAS1	2.4297612351694365e-08
ABRAXAS2	3.545422810436908e-08
ABT1	4.562676568357748e-08
ABTB1	6.317257040204256e-08
ABTB2	7.52735474250292e-08
ACAA1	1.2380653930673497e-07
ACAA2	1.5056032610623054e-07
ACACA	3.427162890623046e-07
ACACB	4.1083981106066947e-07
ACAD8	7.172686382805721e-08
ACAD9	1.5245051831039286e-08
ACADL	7.304693712604756e-08
ACADM	1.492230814258294e-07
ACADSB	4.4186337107303336e-07
ACAN	7.081245074125702e-07
ACAP1	9.42350626094343e-08
ACAP2	2.69073276391717e-07
ACAP3	1.770089489074676e-07
ACAT1	1.6546112862112475e-07
ACAT2	2.4962220457777174e-07
ACBD3	2.6247165016656214e-07
ACBD5	2.8125491475434392e-08
ACCN1	1.45633701151266e-07
ACCN2	1.0946177258497801e-07
ACCN3	1.2058383438924922e-07
ACCS	1.1005675663248777e-07
ACD	1.1083203540955626e-07
ACE	1.0531085856478958e-07
ACE2	6.879054624825999e-08
ACHE	1.041635511148156e-07
ACIN1	8.871148839908307e-08
ACKR1	9.785407648660232e-08
ACKR2	2.4435636438286413e-08
ACKR3	3.2825129028060166e-08
ACKR4	2.465930977607683e-08
ACLY	1.2929256131941643e-07
ACMSD	1.1861374501374426e-08
ACO1	2.1376967248886085e-07
ACO2	3.2420745876602653e-07
ACON	3.1210063101518556e-08
ACOT1	7.616766367552304e-07
ACOT11	0.0
ACOT12	0.0
ACOT13	0.0
ACOT2	9.637654875572476e-08
ACOT4	8.309658122864946e-12
