gene	closeness
-	0.5194986072423399
16-5-5	0.48438489801089574
A1CF	0.5081743869209809
A2M	0.4928456332581373
A4GNT	0.34397210976158343
AAAS	0.4676186399217221
AAG1	0.44056810324959667
AAGAB	0.45281733929470286
AAK1	0.4786841116814824
AAMP	0.3896007948437062
AANAT	0.484154873840504
AAR2	0.4312381919183374
AARS	0.47875903953917914
AARS2	0.38841337972722423
AARSD1	0.45988452516990436
AASDHPPT	0.4867436901238104
AASS	0.36602762021014335
AATF	0.4845844291644222
AATK	0.49123088783245533
ABAT	0.3267525585966711
ABCA1	0.49349769272967825
ABCA12	0.4518940960936115
ABCA2	0.49130979535451536
ABCA4	0.36815117958594124
ABCA7	0.4338932077398854
ABCB1	0.5022001838959674
ABCB11	0.4278719713502322
ABCB4	0.442224278526401
ABCB5	0.40420245804149596
ABCB7	0.37723236309817465
ABCB8	0.43695534158118804
ABCC1	0.48409357095375266
ABCC2	0.5164634764107933
ABCC3	0.4112901056934621
ABCC8	0.4386221533872541
ABCC9	0.4172259507829978
ABCD1	0.3731365133585458
ABCD2	0.4029776021080369
ABCD3	0.37813713127117177
ABCD4	0.4786990953767177
ABCE1	0.4748494069428057
ABCF1	0.4714968398335132
ABCF2	0.4390755096181453
ABCF3	0.4141750622901094
ABCG1	0.4951273998769709
ABCG2	0.4535559641734385
ABCG4	0.37829614604462475
ABCG5	0.37829614604462475
ABCG8	0.3345364658529116
ABHD14B	0.490380298852049
ABHD15	0.4631996607705355
ABHD4	0.435152515365354
ABHD5	0.43899988517625443
ABI1	0.49343400122608333
ABI2	0.47541034568515295
ABI3	0.41009895148963554
ABI3BP	0.37993143197853524
ABL1	0.5505435956512348
ABL2	0.48538420033643315
ABLIM1	0.49642926702590406
ABLIM2	0.48270311217726153
ABLIM3	0.4892664043254311
ABP1	0.42658298465829847
ABR	0.4728818800247372
ABRA	0.45566414397234967
ABRAXAS1	0.47819017541665365
ABRAXAS2	0.4887035439235612
ABT1	0.47564692709629264
ABTB1	0.4800514800514801
ABTB2	0.45637123246792005
ACAA1	0.4611881785283474
ACAA2	0.4625132315136852
ACACA	0.4892194497760717
ACACB	0.47055384615384616
ACAD8	0.34358571107616265
ACAD9	0.3852432173715898
ACADL	0.45673924080876865
ACADM	0.4734088657751362
ACADSB	0.3564968063779197
ACAN	0.4630313673246942
ACAP1	0.47159861847785867
ACAP2	0.4738342370255616
ACAP3	0.40961564215883217
ACAT1	0.4575180996828816
ACAT2	0.481790687417302
ACBD3	0.4584370035072994
ACBD5	0.37209245742092456
ACCN1	0.4366185119625421
ACCN2	0.47022107431663746
ACCN3	0.4308008676300741
ACCS	0.37067649126208885
ACD	0.4617312279218623
ACE	0.4883290225755979
ACE2	0.45003237007827673
ACHE	0.48811081676295043
ACIN1	0.4638459205338186
ACKR1	0.4481202566882527
ACKR2	0.43531354074748796
ACKR3	0.46161972893839237
ACKR4	0.4349173847510167
ACLY	0.4915940724549166
ACMSD	0.4080200634988394
ACO1	0.4923854599310989
ACO2	0.4514938592347662
ACON	0.4231716428235424
ACOT1	0.3284861242374775
ACOT11	0.31618665619120473
ACOT12	0.31618665619120473
ACOT13	0.31618665619120473
