gene	clusteringcoeff
16-5-5	0.3188409227176623
CDC42	0.10793763788415166
PARD3	0.16199422773711133
PARD3B	0.37679724982055834
EP300	0.07225595562134356
A2M	0.2814135518354924
RAC1	0.11648374217251586
RAC2	0.17610697710730167
RAC3	0.21449888427998412
RHOA	0.13006579522689765
AURKB	0.16053727409110666
BIRC5	0.1721260625441458
CDCA8	0.3802709184004148
DYNC1H1	0.13691307999575553
DYNC1I1	0.17780187794741187
DYNC1I2	0.1657105910706064
DYNC1LI1	0.18278880145968754
DYNC1LI2	0.18529141115585362
DYNLL1	0.10197363069965676
DYNLL2	0.15299695495034007
INCENP	0.37840176691680766
NUP107	0.27850692072529304
NUP133	0.2645981974070957
NUP160	0.31200306135464945
NUP37	0.2605080261859923
NUP43	0.3160303931692431
NUP85	0.26861288520481347
NUP98	0.27107923847157683
RANBP2	0.22759404759224655
RANGAP1	0.25742603225688476
SEC13	0.17356560003976632
SEH1L	0.2609537110933759
XPO1	0.0965737285059059
ACTR2	0.1846923656780432
ACTR3	0.20539200112958453
AREG	0.1759563066352612
ARPC1A	0.23593258884991258
ARPC2	0.25417549220459046
ARPC3	0.23979179773642081
ARPC4	0.2489624095814064
ARPC5	0.2430001548855483
BTC	0.2756343656343656
CBL	0.13415119754750987
EGF	0.16120584284092862
EGFR	0.08267358781657118
EPGN	0.34436612553955265
EREG	0.25519451620920247
GRB2	0.10351837663906736
HBEGF	0.2477656173848227
ITSN1	0.21094265943090132
OCRL	0.2189568402895097
RPS27A	0.08569080843829197
SH3GL2	0.209036778298659
SH3KBP1	0.2683167705697179
TGFA	0.2013454836131095
TRIP10	0.20490480800258148
UBA52	0.08728702332358006
UBB	0.09080037584351243
UBC	0.08727939313034869
VAMP2	0.2669172416160368
WASL	0.16384398939782535
ACTA2	0.1662306832991994
PAFAH1B1	0.18095443935333275
NGFR	0.18780298927617448
SRC	0.0951184454310222
ARHGEF11	0.5444571065115417
ARHGEF12	0.4622113335806282
NFATC2	0.21939045576109725
TP53	0.07524544998805724
EZR	0.22300308779258285
IQGAP1	0.19607082339108484
MAPRE1	0.22823041255795934
ABL1	0.11186241559600237
ACTB	0.07989351446166233
ACTG1	0.1209435885655214
ARPC1B	0.3304644999302553
ARPC5L	0.40758985586571794
BAIAP2	0.24462733822702867
DIAPH1	0.3690835065835066
DIAPH3	0.4050718789112304
EPS8	0.30035236081747707
FYN	0.1103456015025382
ITGB1	0.1456126330469665
LCK	0.15126606608614263
PIK3R1	0.10766172774253117
PLCG1	0.1442937205058018
SOS1	0.17238146618106334
WAS	0.24701458599079362
YES1	0.17210821821097622
NCK2	0.23483296026566622
VASP	0.30486083337442316
WIPF1	0.40127694724298557
ABR	0.5674229846891717
BCAR1	0.17428059701492538
BCR	0.18293056585124784
BNIP2	0.3392857142857143
BOC	0.3680368906455863
CDH15	0.3589763004467328
CDH2	0.1752281585842634
CDON	0.32483990562858106
CLASP1	0.22787536952213885
CLASP2	0.37884859578818914
CRK	0.16294724872770724
CRKL	0.17908496164486057
CTNNA1	0.13244806822333255
CTNNA2	0.20463037867406295
CTNNB1	0.08118550051706143
CTNND1	0.18959384447387845
ENAH	0.3355169290703589
EPHB2	0.2967010371321391
EPHB3	0.3591019519142163
JAK2	0.14879569330546175
LRRK2	0.16284046640301328
MAP2K6	0.242381001266126
MAPK11	0.1411614112928586
MAPK12	0.16109954125100123
MAPK14	0.11802665705950482
MTOR	0.153344619604131
NCK1	0.20525212394329287
NTRK2	0.30363264823602926
PAK2	0.14141754990492927
PAK4	0.2841589364969184
ROBO1	0.3746498069205724
SFN	0.11841672417332631
SLIT2	0.47467800802340665
SPAG9	0.3490445859872611
VAV1	0.16932820531901818
YWHAG	0.0897247147304352
YWHAZ	0.0834008663923097
MET	0.18929775759296055
ABLIM1	0.27363301809042767
DCC	0.3495598806042885
DOCK1	0.43352495107632094
NTN1	0.5003659032389213
PTK2	0.1364063177025986
TRIO	0.3695359865250908
ABLIM2	0.42323316415575035
ABLIM3	0.36061176023558467
YWHAQ	0.09906941657580727
SPI1	0.14663682147862828
PTEN	0.13749221518915675
AGRN	0.24367854674134737
ARHGAP4	0.6378878428162096
ARHGEF6	0.2442714492530744
PLD1	0.2974094459465259
ARHGAP25	0.6124765394583966
GDI1	0.18630070202808113
RAP1A	0.22256099052427147
MAPK8	0.1292927733569572
CXCR4	0.20701068593978628
CXCL12	0.2928403634743031
GNAI1	0.22120946052580265
GNAI2	0.206689543922653
GNAI3	0.2293391287324427
GNB1	0.1932883824559915
GNG2	0.21501981147977636
ARHGAP35	0.3684886824157359
ACTA1	0.13661795749390282
ACTC1	0.22103982973548192
ACTG2	0.28279231887776923
CDH1	0.1109590291084953
HTT	0.10418011773879844
JUP	0.14345570822814704
NECTIN1	0.39771213242715836
OCLN	0.23190814787453443
TNFAIP8	0.36616842015225387
VCL	0.196146835301046
ACTBL2	0.2871454945837133
ARHGAP10	0.4997178358522896
CENPA	0.18788226220007923
CHN1	0.38778356713426854
CHN2	0.33169147925245485
DMD	0.19610584249568644
DVL1	0.16183928806382547
FMNL1	0.25492787042874704
FMNL2	0.1896683201303028
GSK3B	0.11794869567200503
NCKIPSD	0.3037357976064233
POTEKP	0.260635250089153
RPS27	0.2362572737402501
SRGAP2	0.33140253320976215
SYDE1	0.546580006190034
SYDE2	0.5975647609910266
WHAMM	0.29516792271122183
WIPF2	0.45843215958158484
WIPF3	0.46053615960099753
YWHAE	0.08201943973800957
YWHAH	0.10605627022470938
GRIN1	0.24778583091252027
GRIN2B	0.24742616033755274
MYBPC3	0.395769955091989
CAPZB	0.18714060795871687
IQGAP3	0.3308407296107345
PRKCE	0.2000650278429074
MAGI1	0.30146179401993356
NF2	0.15206589458395445
PIK3CA	0.1305614133827128
CALM3	0.14885693935232974
DLG4	0.13000544073673803
GRIN2A	0.321830640169061
ITGB3BP	0.20921085322000654
MPP5	0.31032011466794074
RASGRF1	0.42520652642226925
RASGRF2	0.4357458107211083
CENPE	0.26027613582121156
KIF18A	0.28794999917544817
KIF2A	0.2798647434881386
KIF2B	0.3258530556510732
KIF2C	0.34923066785278906
KIF5A	0.2899081774081774
KLC1	0.20184532448683393
KLC2	0.23509357973061748
RACGAP1	0.19506943351806205
B9D2	0.35295924448723237
CKAP5	0.3328006040395142
FBF1	0.2143861734264349
NDE1	0.2492602878309061
PLK1	0.11820108992244487
SEPTIN2	0.32902743674602325
TUBA1A	0.21498967488948031
TUBA4A	0.16437098959531662
ZW10	0.35687692395213744
RAP1B	0.24448165503085628
FKBP1A	0.2029420278413726
MAPK13	0.16081044526830918
PAK1	0.12572577324785103
SMAD7	0.17295780844573194
TGFB1	0.13063262082869925
TGFBR1	0.11724457830559738
SMURF1	0.2117405022600714
CDH5	0.17532713591826893
TGFBR2	0.14726203842607524
ARHGDIB	0.37400249649082756
ROCK1	0.17235951788265283
BDNF	0.3104334749918274
PRKCI	0.17521185888551682
PRKCZ	0.1429649807661961
ARHGAP5	0.48380746237889094
VEGFA	0.1606374565988311
HGF	0.2697057807681013
CSNK1A1	0.20458815350016862
GNAO1	0.271752815781519
GNAZ	0.3238472933831555
STK11	0.21177473250751006
GNA13	0.24936991742402773
F2	0.37312738031636533
CAV2	0.2815674962348105
CDK4	0.10313214186675847
CLDN1	0.3373289381680152
F11R	0.31670300681041214
NECTIN2	0.418900675024108
NECTIN3	0.4839991862666854
NECTIN4	0.5299227799227799
DEPDC1B	0.7785036778939218
PIK3CB	0.16164837835612092
PIK3CD	0.17184696329187069
PIK3R2	0.15938290573692493
PIK3R3	0.19766783282131967
YWHAB	0.1010373345909751
ARHGEF7	0.2262526729417684
DAG1	0.23019908254807583
LAMA3	0.29374051896207587
LAMA5	0.2969883680755499
LAMC1	0.28018028429446434
LAMC2	0.32983083253668066
MUSK	0.42910471171340736
PAK3	0.2953261007832234
PAK5	0.4287118261565901
PAK6	0.24280216351154565
CTSG	0.1797010775112965
AHCTF1	0.501612107443232
BUB1	0.2121741200746002
BUB1B	0.28640175092253123
BUB3	0.26083794901108126
CDC20	0.21762596342454082
CENPC	0.4504360679970436
CENPF	0.4150537634408602
CENPH	0.4620985139022052
CENPI	0.4666563595135024
CENPK	0.4576900311995265
CENPL	0.4666563595135024
CENPM	0.4666563595135024
CENPN	0.4666563595135024
CENPO	0.43472138976891095
CENPP	0.4666563595135024
CENPQ	0.4666563595135024
CENPS	0.31123534359075844
CENPT	0.41982395713738996
CENPU	0.39146921000778234
CLIP1	0.38982775889066007
DIAPH2	0.4523191789904581
DSN1	0.5139843620815912
ERCC6L	0.537856622594225
KNL1	0.4459214794016556
KNTC1	0.534851914162259
MAD1L1	0.27876095373955573
MAD2L1	0.27852694452089005
MIS12	0.5139843620815912
NDC80	0.39446706586826347
NDEL1	0.2721905234433143
NSL1	0.49465839628057773
NUDC	0.4319416235490897
NUF2	0.4563773466955791
PMF1	0.18734393587655776
PPP1CC	0.1335070143153682
RCC2	0.35237215033887864
SGO1	0.4422503342589736
SGO2	0.5136816496756256
SKA1	0.47340208770884923
SKA2	0.5214713928176474
SPC24	0.5472610233315524
SPC25	0.49588544539631435
SPDL1	0.5417674718675947
TAOK1	0.42707638116425656
ZWILCH	0.5449160158474995
ZWINT	0.47488452655889146
HAP1	0.1562448117123236
LATS1	0.21313986046439676
KDR	0.21465934831103298
AKAP13	0.3367946577629382
ARHGDIA	0.3738980312355004
MAP3K11	0.3301287034637644
MAP3K5	0.19020292696242347
PDK1	0.35331065841561166
RPS6KB1	0.18465247285522696
SOS2	0.29096703027331783
TNK2	0.429062433562469
EXOC7	0.18134041141340412
LCP2	0.22489151146351957
GDI2	0.2763253638253638
APC	0.1713109974991447
ARHGAP17	0.466177078217212
PLG	0.13008203917294828
CD44	0.17296748603390796
ROCK2	0.23255445913237757
TIAM1	0.24839017816783085
OBSCN	0.5918924263397272
CAV3	0.23134311297389978
GZMA	0.34355124595975395
EFNB1	0.37495258299731654
EFNB2	0.3305760915050914
EFNB3	0.45241413030191907
RALBP1	0.33879645036051026
CD28	0.36754623030334305
MAPK10	0.1699721030545983
MAPK9	0.15793819326274214
ARHGEF4	0.5871883390870732
MEN1	0.1858228502692433
SCRIB	0.276003276003276
SPATA13	0.44858577134837524
NME1	0.3205680909501791
ARHGEF5	0.3897622916745399
BCAR3	0.49067219425525616
CLDN3	0.3727072633895818
PARD6B	0.26895659130399335
GRAP2	0.26332652250411487
VAV2	0.23448041165736683
VAV3	0.24858838185417556
MAP2K3	0.28995608035135717
ARAP1	0.36992737512968726
ARAP2	0.6319490221929246
ARAP3	0.5498199279711885
RAB1A	0.1826794031736007
KALRN	0.32963431948121713
GIT1	0.22046794996435284
MYO9A	0.5712468827930175
MYO9B	0.5304504623368627
ARHGAP1	0.48267109695878907
ARHGAP26	0.4653461578712028
ARHGAP11A	0.6925917084427469
ARHGAP11B	0.718252084887111
ARHGAP12	0.6589803921568628
ARHGAP15	0.3715025906735751
ARHGAP18	0.6037921210335003
ARHGAP19	0.6093741844563912
ARHGAP20	0.718252084887111
ARHGAP21	0.4577911904879698
ARHGAP22	0.7108151126748764
ARHGAP23	0.718252084887111
ARHGAP24	0.37911371782339526
ARHGAP30	0.7009330836574319
ARHGAP28	0.718252084887111
ARHGAP29	0.4936096172097438
ARHGAP31	0.7009330836574319
ARHGAP32	0.6308801314499245
ARHGAP33	0.6490665584415585
ARHGAP36	0.718252084887111
ARHGAP39	0.6917075486627631
ARHGAP40	0.718252084887111
ARHGAP44	0.6915637763485283
ARHGAP45	0.718252084887111
GMIP	0.6471321334376721
ARHGEF1	0.3217909638962271
ARHGAP6	0.6788525508019629
ARHGAP8	0.5417950842308754
ARHGAP9	0.3661362262956462
MCF2	0.5493948648342948
ARHGDIG	0.4790031397174254
CTNNAL1	0.38472617537121495
KIAA0142	0.5007229268471238
ARHGEF16	0.6674437240474976
ARHGEF17	0.6645627100172554
ARHGEF18	0.3889680294012424
CGN	0.32440855536665447
PARD6A	0.27213230518968745
ARHGEF19	0.645132307335594
ARHGEF2	0.29153016475050375
NOD1	0.37786810797933323
TUBA1B	0.2285876993166287
TUBA1C	0.2747277936962751
TUBA3D	0.29083440988439496
TUBA3E	0.36801291475683934
TUBA8	0.32916257038162483
TUBAL3	0.3660328032118515
ARHGEF25	0.415331721639912
ARHGEF26	0.718252084887111
ARHGEF3	0.6509652509652509
GIT2	0.33079183934478645
SRGAP1	0.45526158061477867
ARHGEF9	0.5133818926922376
CDC42BPA	0.44028457092040907
PARD6G	0.5063225739786363
MAP3K1	0.21517289421808533
CD80	0.344904917164562
CD86	0.37647295337382786
LAT	0.22205652068816933
KTN1	0.3409387585057631
GRIN2C	0.4676917802021972
GRIN2D	0.3626375346009932
NGEF	0.4556095664009333
BPGAP1	0.718252084887111
FGD1	0.5565729234793984
YWHAE/FAM22A	0.34586028378669165
YWHAE/FAM22B	0.34586028378669165
GRIK2	0.3739376147595958
IQGAP2	0.3494351169385182
FGD4	0.5121574036341598
PLEKHG5	0.59539138243307
PRSS3	0.23753246753246754
TP53BP2	0.23201003908445642
CLDN6	0.5534154535274356
CLDN9	0.6952054794520548
CDC42EP4	0.2889683860232945
CDC42EP5	0.26290929639936456
DEPDC7	0.718252084887111
DLC1	0.4156672286230903
DNMBP	0.2995186631550268
DOCK10	0.3638137472283814
DOCK11	0.2930844935979724
DOCK6	0.2947252407545547
DOCK7	0.31235929383144156
DOCK9	0.19599800375484208
ECT2	0.46766211513287426
F2RL2	0.4674382792707764
FAM13A	0.718252084887111
FAM13B	0.718252084887111
FARP2	0.2921968741640873
FGD2	0.6842696629213483
FGD3	0.7075235366352844
GRIK1	0.48311485250799235
GRIK3	0.40065352397458115
GRIK4	0.5629359708485164
GRIK5	0.4916535668837488
GRIN3A	0.4984729950215454
INPP5B	0.40820339642569275
ITSN2	0.3671033038035385
LIMK2	0.3884180790960452
MAP3K9	0.26374438021836866
MCF2L	0.5144849315867783
NET1	0.641931958913091
OPHN1	0.5195573496659243
PLEKHG2	0.5454162042175361
PREX1	0.4959705589420659
S1PR4	0.4665289867660021
SRGAP3	0.5806225000358418
STARD13	0.5301959641582283
STARD8	0.714459049544995
TAGAP	0.718252084887111
TIAM2	0.657009657009657
CLDN10	0.768542199488491
CLDN18	0.768542199488491
CLDN11	0.6280386280386281
CLDN14	0.32904238618524334
CLDN15	0.32904238618524334
CLDN16	0.6378151260504201
CLDN19	0.6580180180180181
CLDN17	0.32904238618524334
CLDN2	0.30486999339458354
CLDN20	0.32904238618524334
CLDN22	0.32904238618524334
CLDN23	0.32904238618524334
CLDN24	0.32904238618524334
CLDN25	0.32904238618524334
CLDN4	0.3244206773618538
CLDN8	0.6378151260504201
CLDN5	0.4087845305587467
CLDN7	0.39733893557422967
PRSS2	0.3043315907393577
PRSS1	0.27574002574002576
FRMD4A	0.5043035993740219
FRMD4B	0.5
JAM2	0.4067398510769436
JAM3	0.5205068019484617
MTSS1	0.21449120092058013
INSC	0.48580324709022166
A1CF	0.32274936781835095
MMP1	0.24626559211539448
MMP13	0.2900782797321513
MMP2	0.17827405896858867
MMP3	0.30460285845608354
RHOB	0.21780797101449276
RHOBTB1	0.5408477385744731
RHOBTB2	0.5408477385744731
RHOC	0.27774279159731907
RHOD	0.25872981898238745
RHOF	0.5410158998170818
RHOG	0.19286167225292147
RHOH	0.19852874457191003
RHOJ	0.23094995837572843
RHOQ	0.21322524041748325
RHOT1	0.4990094745908699
RHOT2	0.39613291877186163
RHOU	0.27412304371289803
RHOV	0.5124508519003932
BANF1	0.4676311030741411
CCNB1	0.1710895500738847
CCNB2	0.2915455441599027
CDK1	0.09937377181721617
GCK	0.33427181887956464
GCKR	0.6885203082147054
GEMIN2	0.5813340032659213
GEMIN4	0.5165384777035262
GEMIN5	0.5186566774291297
GEMIN6	0.5939061899269512
GEMIN7	0.5274036955840902
GEMIN8	0.6422555546643138
GLE1	0.45501430576057444
HIKESHI	0.6808322266489597
IPO8	0.3630385487528345
NEK6	0.2558004670405062
NEK9	0.595370599389892
NPM1	0.11379735629941935
PSIP1	0.2975559804812806
RAE1	0.33019446909198463
SLBP	0.5478780450436648
SNUPN	0.5378886572867813
SP100	0.3151956107784202
SUMO3	0.22939144111903437
XPOT	0.6513704686118479
CASP3	0.1041781532878269
CASP7	0.1354460565508687
AAK1	0.36299448092991704
ADRB2	0.3199698973283879
AGFG1	0.5908020718882436
AMPH	0.28432793374005594
AP2A1	0.17271174766716674
AP2A2	0.18709416749730298
AP2B1	0.1838159597998145
AP2M1	0.168502632000226
AP2S1	0.2091278187379142
ARF6	0.16726509521333133
AVPR2	0.4309382293704802
BIN1	0.18813904790571587
CD3D	0.23468068068068068
CD3G	0.23116728956585103
CD4	0.1710208507581119
CHRM2	0.45322498230061253
CLTA	0.16462402851175326
CLTB	0.1834644236574614
CTTN	0.2054617048416616
DAB2	0.14683019098175606
DNAJC6	0.3575844202251206
DNM2	0.1477574844249706
EPN1	0.3053467710661734
EPN2	0.3360127225419566
EPS15	0.2542298374805474
EPS15L1	0.4537404580152672
FCHO1	0.2856454655555105
FCHO2	0.43369911318123205
FNBP1	0.3059079879166048
FNBP1L	0.3238993222217044
FZD4	0.3264364453956604
GAK	0.26763560368576045
GAPVD1	0.28869529374889974
HGS	0.14200576669054837
HIP1	0.23235769495431197
HIP1R	0.31551641114062473
IGF2R	0.4365194033495452
KIAA0319	0.6395940537449971
LDLR	0.3927423896121104
LDLRAP1	0.4056380548302872
M6PR	0.5341637010676157
NECAP1	0.3038312641836871
PACSIN2	0.38349447285926413
PICALM	0.2643485915492958
PIK3C2A	0.27496150292577765
RAB5A	0.1906911667748738
REPS1	0.34263541336712067
REPS2	0.45408895265423244
SCARB2	0.45090714094199663
SGIP1	0.3776332614339408
SLC18A3	0.5460636924051558
SLC2A8	0.6720269941634242
SNX9	0.32256392622383023
STAM	0.3560419516643867
STAM2	0.2898958894866351
STON2	0.41214515528901924
SYNJ1	0.26062549661870543
SYNJ2	0.2831705209688181
SYT2	0.46700823789431384
SYT9	0.5174175022360307
TF	0.22923024256651017
TFRC	0.22513322984079623
TGOLN2	0.354995717236862
VAMP8	0.3439863493820328
WNK1	0.39076400126719923
WNT5A	0.3717047137987042
ASNS	0.3561660968898524
AARSD1	0.5968233006859617
AASDHPPT	0.22377696346945714
NGF	0.2197121449484548
AATK	0.3693771065595022
ABCC2	0.24761684319828844
RDX	0.1328660797034291
CACNA1A	0.593499618957385
CACNA1B	0.691815107319229
CACNA1G	0.2948258500177704
RAPGEF3	0.5152623361877277
RAPGEF4	0.4212519289134879
MSN	0.11629742806213395
PDE12	0.3055308025901503
SMC1A	0.18814750694417812
ABI1	0.3325967540574282
ABL2	0.35526266239879495
BRK1	0.4200332042058661
CBLB	0.33784951546200853
CYFIP1	0.28185200300465485
CYFIP2	0.28347493119540507
FER	0.38851623372601485
FES	0.3495369961038119
FGR	0.2635249522867039
FRK	0.32990438509726344
INPPL1	0.3893364602014071
ITGA4	0.21563745354596345
NCF1	0.2362225189141077
NCKAP1	0.25455984174085067
NCKAP1L	0.3524714008202029
RASA1	0.20752883419079324
USP6NL	0.4625977485606256
VCAM1	0.2552431545305347
WASF1	0.28660733890445994
WASF2	0.29689119170984457
WASF3	0.30577070685925617
ABI2	0.39166947042594713
EFS	0.4759445089160428
ADAM15	0.3764880573586186
AIRE	0.39164772047385427
AKAP6	0.3919304248645566
BARGIN	0.29264081972140094
BLK	0.2951223654929598
CABLES1	0.39267715725599095
CABLES2	0.2587590982552584
CAP1	0.3018998963001018
CAP2	0.2631827431827432
CCKBR	0.5326560787822816
CCNA2	0.28816812265724234
CD19	0.34948431013178916
CD2AP	0.4115283572863545
CDKL5	0.26421311980289497
CNTNAP1	0.4463959655682115
CSF1	0.366023228740829
CSF1R	0.3033472624814744
DDX41	0.42354314046264396
DKKL1	0.2814831585037607
DLX4	0.32828134979774326
DNM1	0.1911816744910236
DOK1	0.3966024210949786
DOK2	0.42094213410702774
EFNA5	0.4265020324725675
EPHA1	0.4288686276638084
EPHA2	0.3000702365817011
EPHA3	0.36672496287741296
EPHA4	0.4266950879282781
EPHA5	0.5474082258290409
EPHA6	0.5422437673130194
EPHA7	0.5525015069318867
EPHA8	0.5983892617449664
EPHB1	0.3454302158015807
EPHB4	0.2746569299709122
EPHB6	0.3764004952027236
ERBB2	0.15242428687718032
ERBB3	0.15061976224960416
ERBB4	0.191993551853842
FMN1	0.3257376606146967
FYB1	0.4693422386546604
GPX1	0.19967882061947012
HCK	0.24271215417546885
LRP8	0.26400907930202866
LRRK1	0.5567120235537519
MAP4K1	0.4148551205955651
NEDD9	0.24134427828348504
NEK8	0.3211206065668573
NKX2-1	0.2771415169228549
NR2C2	0.33746552923893713
NRP1	0.33052652682755684
NTRK3	0.38615593924259106
PARK7	0.21538859415518602
PDE4D	0.5075098356346268
PDGFB	0.1989079529094145
PDGFRB	0.17248981593963525
PRKCD	0.14427160247306908
PRKD1	0.30800082990615185
PTPN1	0.26119252821314715
RAPGEF1	0.3708639034030918
RELN	0.40887351660802673
RET	0.3210898623597618
RIN3	0.36023187338976814
ROBO2	0.5991859895631027
ROS1	0.18579066175597006
RTN4	0.2666942034971775
SCARF2	0.3388026088736802
SELENON	0.34196614196614195
SH3BP1	0.38016571994371773
SH3BP2	0.4198190596728074
SHC2	0.482300696243696
SHC3	0.28697721902848317
SHC4	0.35762929281341577
SLIT1	0.3338503758501372
SMC3	0.19745797902110526
SNCA	0.17253074720519715
SNX12	0.2325690407184465
SNX17	0.3584756248453353
VPS13A	0.25642271906679626
WNK2	0.35008234141460465
ZNF274	0.393692092221504
MAP3K10	0.33269998623158475
SSX2IP	0.3482787251708501
ERBIN	0.40697388035517534
ABRAXAS2	0.4708721721166927
PEX7	0.38182728926447784
MMP12	0.27726969250343275
MMP14	0.2253427503115912
MMP20	0.42159884456753177
MMP7	0.2531178165402898
MMP8	0.39139923150044853
MMP9	0.19982104476648188
ACAP1	0.35047011952191237
PLD2	0.29460582817509773
SLC2A4	0.22962092110839222
ACAP2	0.2703923658697528
PFDN4	0.26144407739499764
RAD21	0.11746451389544582
STAG1	0.2120002106039067
STAG2	0.23359986272031574
ACE	0.5048367664432514
AGTR2	0.4223068447995557
MYH9	0.19283179874312878
COLQ	0.4187683284457478
LAMB1	0.32408911726552564
API5	0.28588090853284226
CXCL1	0.35726535302087087
CXCL5	0.6055414551607445
PF4	0.6875285754953805
VWF	0.3297316262817208
CCL27	0.7618705537731901
CCL28	0.7208953311737037
CXCL16	0.7717418565223062
FPR2	0.43627767397089634
PIK3CG	0.27612099212927277
PECAM1	0.2757060047244969
CXCL13	0.7067918865275693
MYL6	0.2274586763443265
MYL6B	0.37390355151845933
MYO16	0.32351465181721195
ACP1	0.44133258046301527
DUSP1	0.33906531937928547
DUSP12	0.2965493737752407
DUSP2	0.4235363865421669
EFNA1	0.26852321521804967
ACTN1	0.16676012390621114
ADAM17	0.24255694431773256
AFDN	0.2865375373124457
CFL1	0.15959318562651276
GSN	0.2843327884367203
IFT57	0.2467162115451089
MB	0.33943400790131417
MMP15	0.3250866630176975
MMP16	0.3017036310359641
MMP19	0.3237648278244846
MMP21	0.36086877585926824
MMP23B	0.36086877585926824
MMP24	0.3168652037617555
MMP25	0.28016534087360395
MMP27	0.36086877585926824
MMP28	0.3230388949472919
MYH1	0.5100316147859922
MYH10	0.3193256356047054
MYH11	0.37032385777077725
MYH13	0.5210803689064558
MYH2	0.44010754803593677
MYH3	0.36639753940792
MYH4	0.5462087273933964
MYH6	0.4192132145185829
MYH7	0.4164072152211515
MYH7B	0.6014133491194317
MYH8	0.5170552677029361
PPP1R9B	0.3148391560013836
UTRN	0.24982800137598898
ALOX12	0.27090037034788417
CCT5	0.14273233166388424
CNN1	0.3463528044173205
CNN2	0.3741416188224699
EDNRA	0.5065378169349755
MYL10	0.45236436037829764
MYL12A	0.2914347748416265
MYL12B	0.36012027219496756
MYL5	0.45236436037829764
MYL7	0.45236436037829764
MYL9	0.34720169260644
MYLK	0.4262794760939154
MYLPF	0.3502502568137608
PALLD	0.21179909646558598
PXN	0.1708832767202265
ACTR3B	0.49621408567575975
ACTR3C	0.3252998909487459
ANK3	0.26254259836349386
B2M	0.2562778561125427
CCT6A	0.2308016572722455
CDC37	0.2450667099965697
CDK5R2	0.24322563835330901
CFL2	0.34926947095557914
COTL1	0.2727904191616766
DKFZP686A1195	0.32321539416511486
DKFZP686D0714	0.4858201703839288
DSTN	0.32570175438596494
EVL	0.33604640196170893
FMNL3	0.2122592662438421
FSCN1	0.17017530251318647
FSCN2	0.2756028953309206
FSCN3	0.2756028953309206
GRLF1	0.25860847863478464
HCLS1	0.22066820072825155
ITGA2	0.256305990431575
ITGA2B	0.25062272735257435
ITGA3	0.28837958084533427
ITGA6	0.21679366502315853
ITGAE	0.3582665728962818
ITGAL	0.2637061317112375
LCP1	0.22932095717718312
MAP1A	0.25996810207336524
METAP1	0.184593366804934
MGMT	0.14534050485215858
MLLT4	0.26132349536604854
MYH14	0.3051920254403131
MYH15	0.2503041052509973
MYO10	0.31297278901041103
MYO1A	0.2839522832775559
MYO1B	0.30344217308304167
MYO1D	0.30344217308304167
MYO1E	0.3100763358778626
MYO1F	0.3220128390971216
MYO1G	0.217299714804252
MYO1H	0.30344217308304167
MYO5B	0.3282282484355023
MYO5C	0.30344217308304167
MYO6	0.2505306176257333
NUS1	0.27971624339018397
PFDN1	0.22493751236266207
PFDN2	0.35614973262032085
PFDN6	0.43402985074626865
PFN1	0.33529607626658253
PFN2	0.2463673392062139
PFN3	0.4646793241458173
PFN4	0.48889128559102674
PIP5K1C	0.3078642661133793
PTK2B	0.17268858623967276
PWP1	0.28793557612704146
SETSIP	0.49897382681886315
SYNPO	0.2052588138191251
TJP1	0.182486919052016
TMSB4X	0.3335813667824156
TMSB4Y	0.23607599040394217
TWF1	0.29709308901707954
TWF2	0.3141691680135458
UBASH3B	0.2975742934532191
VBP1	0.2759455237508526
WDR1	0.33142520207355725
ZYX	0.29014042867701406
TMOD3	0.27707313932526395
FHOD1	0.35030315304482107
PPP1R9A	0.42691110975535357
VIL1	0.2337910497146166
PDCL	0.49174556888646864
CAPN1	0.21649128859755046
CSK	0.21269058857930573
DKFZP666O0110	0.2569602500206248
HEL-S-105	0.37875559672687975
ILK	0.1711170526754401
KIRREL1	0.47667705651172243
LPP	0.30350553505535055
NPHS1	0.43424436092789764
PIP4K2A	0.418142144638404
PIP4K2B	0.28857858933046904
PIP4K2C	0.5352558820836767
PIP5K1A	0.3547209963781708
PIP5K1B	0.42053642459370383
STM7	0.5075524197555401
ADAM12	0.33534861770039
DLG1	0.16674604892833947
DLG2	0.26290792945424246
DLG3	0.23027568922305763
DST	0.27732311198591114
GRIA2	0.4156643975870275
GRIA3	0.5108087862308155
GRIA4	0.48195422411194044
HRAS	0.13504969677429948
KCNA5	0.30516116008343985
KRAS	0.16280058038745923
LRRC7	0.39040832485013005
NEFL	0.24245722080683665
NOS3	0.2017021239735283
NRAS	0.1672315115591996
NRG1	0.3162511508890244
ACTR1B	0.24559542124218256
ARCN1	0.4322645259221007
BICD1	0.3587351993830241
CAPZA1	0.25854228236154225
CAPZA2	0.27539078156312624
CAPZA3	0.30093397917948994
COPA	0.26769333500271275
COPB2	0.32917498516160365
COPE	0.42661956707800996
COPG1	0.4261003385657125
COPG2	0.4256848261003386
COPZ1	0.4485884485884486
COPZ2	0.4655375800471857
DCTN1	0.15987045683192702
FKBP4	0.26354139659493564
GALNT1	0.3475240206947524
GALNT2	0.3701003607879865
HLA-DPA1	0.24159097676241473
HLA-DPB1	0.25001574975690594
HLA-DQA1	0.20937148006307726
HLA-DQA2	0.263875701091807
