gene	degree
16-5-5	0.03295625449552083
CDC42	0.1862289936572288
PARD3	0.06427777414503368
PARD3B	0.033675537827764335
EP300	0.47780030079121166
A2M	0.060746746877656445
RAC1	0.2525992284051527
RAC2	0.14692996795919702
RAC3	0.12247433466291768
RHOA	0.23088994965016674
AURKB	0.11587000588504545
BIRC5	0.07729026351925718
CDCA8	0.03635650297521742
DYNC1H1	0.119466422546263
DYNC1I1	0.07820571503302165
DYNC1I2	0.08814490289675014
DYNC1LI1	0.07748643170077814
DYNC1LI2	0.07624403321781208
DYNLL1	0.1297325573791931
DYNLL2	0.08670633623226313
INCENP	0.03642189236905774
NUP107	0.05741188779180017
NUP133	0.05924279081932911
NUP160	0.05309618779833911
NUP37	0.06179297717910155
NUP43	0.0527038514352972
NUP85	0.05832733930556464
NUP98	0.05924279081932911
RANBP2	0.06754724383704963
RANGAP1	0.048388151441836134
SEC13	0.08088668018047473
SEH1L	0.05858889688092592
XPO1	0.17583208003661807
ACTR2	0.081148237755836
ACTR3	0.06963970443993985
AREG	0.09566468318838685
ARPC1A	0.06316615444974825
ARPC2	0.060812136271496765
ARPC3	0.06270842869286603
ARPC4	0.061269862028379
ARPC5	0.0626430392990257
BTC	0.06545478323415942
CBL	0.16242725429935265
EGF	0.15588831491532074
EGFR	0.3854050872948408
EPGN	0.054273196887464854
EREG	0.07696331655005559
GRB2	0.2608382920290329
HBEGF	0.0691165892892173
ITSN1	0.06460472111423528
OCRL	0.06937814686457856
RPS27A	0.2967370692473681
SH3GL2	0.0647354999019159
SH3KBP1	0.0623160923298241
TGFA	0.0818021316942392
TRIP10	0.06754724383704963
UBA52	0.2919636434970248
UBB	0.2662656117177794
UBC	0.29634473288432617
VAMP2	0.07062054534754462
WASL	0.09043353168116132
ACTA2	0.04289544235924933
PAFAH1B1	0.07035898777218336
NGFR	0.08088668018047473
SRC	0.34558294644608645
ARHGEF11	0.02543647420388413
ARHGEF12	0.03151768783103381
NFATC2	0.07022820898450272
TP53	0.41574576603674884
EZR	0.0814751847250376
IQGAP1	0.1112273589223828
MAPRE1	0.058523507487085596
ABL1	0.21519649512849015
ACTB	0.16811613156346042
ACTG1	0.09455306349310143
ARPC1B	0.03504871509841104
ARPC5L	0.02471719087164062
BAIAP2	0.055057869613548686
DIAPH1	0.031452298437193486
DIAPH3	0.027071209049892107
EPS8	0.028117439351337214
FYN	0.2283397632903943
ITGB1	0.14778003007912116
LCK	0.1752435754920552
PIK3R1	0.2849669783561106
PLCG1	0.1745242921598117
SOS1	0.15137644674033873
WAS	0.06211992414830315
YES1	0.15948473157653828
NCK2	0.05708494082259857
VASP	0.0684626953508141
WIPF1	0.035571830249133594
ABR	0.027267377231413065
BCAR1	0.12267050284443863
BCR	0.08827568168443078
BNIP2	0.02615575753612764
BOC	0.018047472699928072
CDH15	0.01843980906296999
CDH2	0.03805662721506572
CDON	0.02255934087491009
CLASP1	0.06493166808343687
CLASP2	0.03223697116327732
CRK	0.12044726345386779
CRKL	0.10874256195645067
CTNNA1	0.09703786045903355
CTNNA2	0.03334859085856274
CTNNB1	0.3941018766756032
CTNND1	0.06506244687111751
ENAH	0.026286536323808278
EPHB2	0.04132609690708167
EPHB3	0.02262473026875041
JAK2	0.2259857451121428
LRRK2	0.05643104688419538
MAP2K6	0.05002288628784411
MAPK11	0.23814817236644217
MAPK12	0.20277251029882953
MAPK14	0.3118420192244818
MTOR	0.11874713921401948
NCK1	0.08552932714313738
NTRK2	0.05034983325704571
PAK2	0.1492839861374485
PAK4	0.04511868174982018
ROBO1	0.01843980906296999
SFN	0.10187667560321716
SLIT2	0.016870463610802328
SPAG9	0.020597659059700516
VAV1	0.12319361799516118
YWHAG	0.1516380043157
YWHAZ	0.21859674360818676
MET	0.10632315438435885
ABLIM1	0.05610409991499379
DCC	0.0335447590400837
DOCK1	0.03347936964624338
NTN1	0.030798404498790295
PTK2	0.21794284966978356
TRIO	0.04230693781468646
ABLIM2	0.04132609690708167
ABLIM3	0.04747269992807167
YWHAQ	0.11835480285097758
SPI1	0.13908324069835873
PTEN	0.12293206041979991
AGRN	0.054861701432027725
ARHGAP4	0.022886287844111685
ARHGEF6	0.0568233832472373
PLD1	0.0564964362780357
ARHGAP25	0.0219054469365069
GDI1	0.041914601451644544
RAP1A	0.11828941345713725
MAPK8	0.2692081344405937
CXCR4	0.15529981037075788
CXCL12	0.1058000392336363
GNAI1	0.15320734976786765
GNAI2	0.15477669522003532
GNAI3	0.14692996795919702
GNB1	0.17099326489243444
GNG2	0.15510364218923692
ARHGAP35	0.039495193879552734
ACTA1	0.0540770287059439
ACTC1	0.033152422677041785
ACTG2	0.028313607532858172
CDH1	0.09187209834564834
HTT	0.09246060289021121
JUP	0.0893873013797162
NECTIN1	0.025240306022363174
OCLN	0.028902112077421042
TNFAIP8	0.028313607532858172
VCL	0.05525403779506964
ACTBL2	0.04387628326685412
ARHGAP10	0.028902112077421042
CENPA	0.06408160596351271
CHN1	0.03269469692015955
CHN2	0.040279866605636566
DMD	0.02609036814228732
DVL1	0.09265677107173216
FMNL1	0.05453475446282613
FMNL2	0.06800496959393186
GSK3B	0.19845681030536846
NCKIPSD	0.03759890145818348
POTEKP	0.04623030144510561
RPS27	0.06440855293271432
SRGAP2	0.04341855750997188
SYDE1	0.023540181782514876
SYDE2	0.0246518014778003
WHAMM	0.04099914993788008
WIPF2	0.026548093899169557
WIPF3	0.02622114692996796
YWHAE	0.1851827633557837
YWHAH	0.12384751193356437
GRIN1	0.09828025894199961
GRIN2B	0.09814948015431897
MYBPC3	0.007715948473157654
CAPZB	0.044922513568299224
IQGAP3	0.045641796900542736
PRKCE	0.1673968482312169
MAGI1	0.01968220754593605
NF2	0.02118616360426339
PIK3CA	0.2578303799123782
CALM3	0.15425358006931275
DLG4	0.0759824756424508
GRIN2A	0.07755182109461846
ITGB3BP	0.057215719610279214
MPP5	0.006015824233309357
RASGRF1	0.08278297260184399
RASGRF2	0.08219446805728112
CENPE	0.04884587719871837
KIF18A	0.045576407506702415
KIF2A	0.04590335447590401
KIF2B	0.04145687569476231
KIF2C	0.039495193879552734
KIF5A	0.031452298437193486
KLC1	0.04165304387628327
KLC2	0.04466095599293795
RACGAP1	0.054207807493624534
B9D2	0.043222389328450926
CKAP5	0.0451840711436605
FBF1	0.04158765448244295
NDE1	0.05904662263780815
PLK1	0.16680834368665404
SEPTIN2	0.03230236055711764
TUBA1A	0.047930425684953905
TUBA4A	0.057869613548682405
ZW10	0.036814228732099656
RAP1B	0.09749558621591578
FKBP1A	0.03125613025567253
MAPK13	0.20806905119989538
PAK1	0.1276400967763029
SMAD7	0.08036356502975217
TGFB1	0.15896161642581574
TGFBR1	0.08206368926960048
SMURF1	0.06578173020336102
CDH5	0.04171843327012359
TGFBR2	0.07997122866671026
ARHGDIB	0.05937356960700974
ROCK1	0.054796312038187404
BDNF	0.057215719610279214
PRKCI	0.13437520434185576
PRKCZ	0.18184790426992742
ARHGAP5	0.028836722683580725
VEGFA	0.16641600732361211
HGF	0.07500163473484601
CSNK1A1	0.11855097103249854
GNAO1	0.12757470738246257
GNAZ	0.06525861505263847
STK11	0.04505329235597986
GNA13	0.06290459687438697
F2	0.07402079382724122
CAV2	0.0417838226639639
CDK4	0.20721898907997124
CLDN1	0.009285293925325313
F11R	0.03988753024259465
NECTIN2	0.020009154515137646
NECTIN3	0.02340940299483424
NECTIN4	0.00732361211011574
DEPDC1B	0.0188321454260119
PIK3CB	0.20636892696004708
PIK3CD	0.19701824364088144
PIK3R2	0.19198326031517687
PIK3R3	0.15516903158307724
