gene	eigenvector
16-5-5	0.004823685592314631
CDC42	0.02219663565452145
PARD3	0.007603652981551138
PARD3B	0.005091375022358886
EP300	0.06117563386940801
A2M	0.010362769244200806
RAC1	0.037164817783059266
RAC2	0.025720706508157266
RAC3	0.022974899851045203
RHOA	0.036762055654518164
AURKB	0.013657619271042089
BIRC5	0.008410678605962339
CDCA8	0.002760444134054303
DYNC1H1	0.011101901856167107
DYNC1I1	0.005544128050080052
DYNC1I2	0.0065182827479779
DYNC1LI1	0.005665847273342569
DYNC1LI2	0.005434548168888995
DYNLL1	0.009870179086338452
DYNLL2	0.006291280245721217
INCENP	0.0027219432846747422
NUP107	0.004522983368641625
NUP133	0.004583467905167196
NUP160	0.0037133140452698535
NUP37	0.0050306464471895395
NUP43	0.003716396480529427
NUP85	0.004512086561905227
NUP98	0.004730221290215062
RANBP2	0.005142168191905963
RANGAP1	0.004605399912394101
SEC13	0.004896345780945541
SEH1L	0.003865191182389529
XPO1	0.01796212819138479
ACTR2	0.008534039136792947
ACTR3	0.008060718765449698
AREG	0.01300231955184003
ARPC1A	0.007018172352963158
ARPC2	0.007000267571850329
ARPC3	0.007081673700902895
ARPC4	0.0069740300740493335
ARPC5	0.007120967385484512
BTC	0.009937771730486275
CBL	0.021411117422879097
EGF	0.024504488164472947
EGFR	0.053865472522766016
EPGN	0.008243483926552385
EREG	0.012426391968697654
GRB2	0.03542886532232272
HBEGF	0.010068936292853365
ITSN1	0.007151924303484821
OCRL	0.008423888601723259
RPS27A	0.029526125411620672
SH3GL2	0.008048429175679625
SH3KBP1	0.007255048696646965
TGFA	0.011161768451164053
TRIP10	0.008315876318472602
UBA52	0.02983545412489976
UBB	0.028190499255327895
UBC	0.032076944286677705
VAMP2	0.0133964791176111
WASL	0.011791948902507354
ACTA2	0.004530966962975979
PAFAH1B1	0.006181876591975904
NGFR	0.012372118159225001
SRC	0.05171348922950127
ARHGEF11	0.0038139556882026845
ARHGEF12	0.005175230326839967
NFATC2	0.012726995944758583
TP53	0.046862813242336196
EZR	0.016650607115065497
IQGAP1	0.021401737486266753
MAPRE1	0.004478561529413365
ABL1	0.029575699456307912
ACTB	0.015578109344432049
ACTG1	0.007834475984723602
ARPC1B	0.0034315740534544116
ARPC5L	0.002991020335934491
BAIAP2	0.007518539106269934
DIAPH1	0.0046536721431557305
DIAPH3	0.004253004167921024
EPS8	0.004600424290289594
FYN	0.03036781516355615
ITGB1	0.02468684927511581
LCK	0.02693073627015683
PIK3R1	0.043835545021375565
PLCG1	0.025449094659178977
SOS1	0.022077158460892955
WAS	0.007706255221424209
YES1	0.031194878965708484
NCK2	0.007774163969831011
VASP	0.014740406676556213
WIPF1	0.005402400529153773
ABR	0.004433417183528159
BCAR1	0.019298316982194398
BCR	0.013556060920524663
BNIP2	0.005359925632159614
BOC	0.004142830751924697
CDH15	0.0017519612913306434
CDH2	0.005097197591211428
CDON	0.004494335197438627
CLASP1	0.005439369286547395
CLASP2	0.002487356138722076
CRK	0.01455127847776072
CRKL	0.0153659810993119
CTNNA1	0.011635603597944988
CTNNA2	0.0028913747929700073
CTNNB1	0.05250538964745095
CTNND1	0.008050382980391554
ENAH	0.003456898658518152
EPHB2	0.006707466607572379
EPHB3	0.0038133546106999083
JAK2	0.04083765148948431
LRRK2	0.008400049825626605
MAP2K6	0.008315966140586661
MAPK11	0.04470964758893218
MAPK12	0.040267286116589626
MAPK14	0.05406900915956915
MTOR	0.019198575528374975
NCK1	0.010410655850180138
NTRK2	0.008266339572424211
PAK2	0.021748681274292074
PAK4	0.007071362191984377
ROBO1	0.002945234707630841
SFN	0.012255636448366478
SLIT2	0.0034051156823756523
SPAG9	0.004388106610850065
VAV1	0.016789052006801607
YWHAG	0.015441111440513626
YWHAZ	0.02645983280930588
MET	0.015444233769338287
ABLIM1	0.007900210760121377
DCC	0.006397070777816441
DOCK1	0.0035986913339659194
NTN1	0.0061065932291529245
PTK2	0.03688951920113799
TRIO	0.007752181607608585
ABLIM2	0.006883154997038154
ABLIM3	0.008191012671685663
YWHAQ	0.012931809468196208
SPI1	0.019448290495907912
PTEN	0.01590074853742674
AGRN	0.007830638876300115
ARHGAP4	0.003419520381823854
ARHGEF6	0.0084867758808389
PLD1	0.011262882727513635
ARHGAP25	0.0029118607634035626
GDI1	0.0030200900637307377
RAP1A	0.02508664309634593
MAPK8	0.048349759204127166
CXCR4	0.032665791943365066
CXCL12	0.02510579964917525
GNAI1	0.030847166121667248
GNAI2	0.030084204673076032
GNAI3	0.02990478893691251
GNB1	0.03209391012988711
GNG2	0.030091203740024604
ARHGAP35	0.005999700571860796
ACTA1	0.00561711221771071
ACTC1	0.0027599551881844664
ACTG2	0.0023545675422459974
CDH1	0.009761189148435535
HTT	0.010154366841140683
JUP	0.012169892858663866
NECTIN1	0.0033563419308328883
OCLN	0.004694252020597544
TNFAIP8	0.002792968195518292
VCL	0.004840638100830744
ACTBL2	0.0036483694081359454
ARHGAP10	0.004393465854706303
CENPA	0.005748729074335414
CHN1	0.004076134258594249
CHN2	0.005409776348482255
DMD	0.00259757852458308
DVL1	0.011779675729578356
FMNL1	0.007863530694382838
FMNL2	0.00856768466675361
GSK3B	0.030416708713122173
NCKIPSD	0.004418781607181995
POTEKP	0.003702932132539561
RPS27	0.004030116859081678
SRGAP2	0.005603871600639056
SYDE1	0.002877966765707393
SYDE2	0.0033577380884425665
WHAMM	0.004700922873670812
WIPF2	0.003779938315294272
WIPF3	0.0037508135355844145
YWHAE	0.019837267861594777
YWHAH	0.014966708158257276
GRIN1	0.019592054067707993
GRIN2B	0.0194812260961097
MYBPC3	0.0004003743630220266
CAPZB	0.0029170720713079515
