gene	information
-	0.0031410399125006605
16-5-5	0.0029426408980856044
A1CF	0.0031074283295677704
A2M	0.00306821924195104
A4GNT	0.0017361710876260203
AAAS	0.002998092233189009
AAG1	0.0023392086784370597
AAGAB	0.002075215870892436
AAK1	0.002973453122417282
AAMP	0.0007083108358374328
AANAT	0.0028322172107846945
AAR2	0.002607697856590262
AARS	0.0025933667642766556
AARS2	0.0009870504371199149
AARSD1	0.0026672510986411302
AASDHPPT	0.002947972704163689
AASS	0.0004483717225248886
AATF	0.002933590715249096
AATK	0.0029889243882713127
ABAT	0.00012338486827103123
ABCA1	0.0030650216912805014
ABCA12	0.0019566835923672276
ABCA2	0.0029618539590736052
ABCA4	0.001217230392767923
ABCA7	0.0019233967273923555
ABCB1	0.003071741711646316
ABCB11	0.0015891930424358014
ABCB4	0.0017827407492203033
ABCB5	0.0007126339001846887
ABCB7	0.0008462534116188903
ABCB8	0.0018181818416164457
ABCC1	0.0028221444112601843
ABCC2	0.0031336288957996027
ABCC3	0.0013588568798227783
ABCC8	0.002970648965929987
ABCC9	0.00225836884472841
ABCD1	0.0012221754013667955
ABCD2	0.0017867444963329585
ABCD3	0.0012007530796567013
ABCD4	0.002737956471883985
ABCE1	0.0028041068444153634
ABCF1	0.002839741346623578
ABCF2	0.0015201458081535084
ABCF3	0.0014976125373869181
ABCG1	0.0030249069841217983
ABCG2	0.00157478069745677
ABCG4	0.0002629071900581351
ABCG5	0.0002629071900581353
ABCG8	0.00034791886496947556
ABHD14B	0.002982865384756685
ABHD15	0.002395985212641128
ABHD4	0.0017680984189662385
ABHD5	0.0017944075275980456
ABI1	0.0030436045949251904
ABI2	0.0028638541223610777
ABI3	0.0017490435445513173
ABI3BP	0.0007848048801207219
ABL1	0.0031840568766836512
ABL2	0.0029713605973708175
ABLIM1	0.0030554493177224152
ABLIM2	0.0029969837685944896
ABLIM3	0.003025471382274179
ABP1	0.0013034582223263671
ABR	0.002888603466425377
ABRA	0.0023183590564334745
ABRAXAS1	0.002930702902195406
ABRAXAS2	0.002909189538096225
ABT1	0.002825425428970956
ABTB1	0.002741608967112829
ABTB2	0.0022018962272983256
ACAA1	0.002675321419174931
ACAA2	0.0021660647134350273
ACACA	0.00292846668240465
ACACB	0.0026869166667949263
ACAD8	0.0012831122974107368
ACAD9	0.0019522809381165064
ACADL	0.0025236678521419007
ACADM	0.0027628119000869147
ACADSB	0.0005016160187108937
ACAN	0.0028225327749185044
ACAP1	0.0026994175884960158
ACAP2	0.002587332943260325
ACAP3	0.0012130346810490815
ACAT1	0.0024000532280354647
ACAT2	0.0026880130480521087
ACBD3	0.002065066182549876
ACBD5	0.0011242861234446195
ACCN1	0.001683825533947007
ACCN2	0.0025632995437731053
ACCN3	0.001994221213007078
ACCS	0.0007117931163691463
ACD	0.002630165093346981
ACE	0.0028867830413441546
ACE2	0.0021956897781905847
ACHE	0.002912091027955108
ACIN1	0.0028042023818596377
ACKR1	0.0020932243378131874
ACKR2	0.0023034600930887292
ACKR3	0.003045603322872865
ACKR4	0.0023034614293585627
ACLY	0.00294831364367985
ACMSD	0.001752022165065583
ACO1	0.00294788859732332
ACO2	0.0023279498656533525
ACON	0.001944247760276301
ACOT1	0.0005612846496887145
ACOT11	0.0002503560365804207
ACOT12	0.0002503560365804208
ACOT13	0.0002503560365804204
ACOT2	0.0018345487268752497
ACOT4	0.0018234854789960743
ACOT7	0.0024566927820648273
ACOT7L	0.0002503560365804202
ACOT8	0.0027279818724162395
ACOT9	0.0005433331384073337
ACOX1	0.0028143906992751217
ACOX2	0.002757690507072882
ACOX3	0.0028322255508712135
ACP1	0.0026613139901258275
ACP5	0.0030453443077361484
ACP6	0.0009222085553401845
ACPP	0.0021220112229319342
ACR	0.0012309779888132382
ACRV1	0.0005851302282423959
ACSBG1	0.00271143132619762
ACSBG2	0.0027114313261968176
ACSL1	0.0027114313261971386
ACSL3	0.002805675733895029
ACSL4	0.002711431326196871
ACSL5	0.002711431326196229
ACSL6	0.0027229927672550876
ACSM3	0.002582547295101219
ACSS1	0.0005416450423329461
ACSS2	0.0027827763888360647
ACTA1	0.0030489090186921145
ACTA2	0.0030047013909618
ACTB	0.003170834981265454
ACTBL2	0.0030093156508582313
ACTC1	0.002943599530203276
ACTG1	0.0031247167648502184
ACTG2	0.0028994064580401932
ACTL6A	0.0030596719249363713
ACTL6B	0.002777925297278502
ACTL7A	0.0005395624255957745
ACTN1	0.0030698602216736926
ACTN2	0.0030323726249175302
ACTN3	0.002984523944682385
ACTN4	0.0030733015221730054
ACTR10	0.002946997262099784
ACTR1A	0.0030501253798870726
ACTR1B	0.0029784600373161515
ACTR2	0.003107774150649341
ACTR3	0.003088204435846375
ACTR3B	0.0027878092508012366
ACTR3C	0.0029532243275857033
ACTR5	0.002809920076668188
ACTR6	0.0011675335159468943
ACTR8	0.002818479906841685
ACVR1	0.0030065948451538757
ACVR1B	0.0027242015345635517
ACVR1C	0.0023124904423160774
ACVR2A	0.002696463546241232
ACVR2B	0.0027203068861715
ACVRL1	0.0028883040505443126
ACY1	0.0007112582387672695
ADA	0.0027620895409260107
ADA2	0.002702559479712114
ADAM10	0.002942507721900358
ADAM11	0.0009263038485670856
ADAM12	0.0029981592529834578
ADAM15	0.002932990060274098
ADAM17	0.0030121479029433258
ADAM19	0.002862604654845623
ADAM2	0.0015499379103517915
ADAM20	0.0007081996799975498
ADAM21	0.0007081996799975482
ADAM22	0.002735208079862069
ADAM23	0.0022628087385892365
ADAM28	0.0028330551853853595
ADAM30	0.0007081996799975511
ADAM33	0.00241957119348153
ADAM3B	0.0001253396742819644
ADAM8	0.0025409142136439736
ADAM9	0.002951842086661877
ADAMTS1	0.001762766398456232
ADAMTS13	0.0022732030151691686
ADAMTS14	0.0022402351291227075
ADAMTS16	0.002900345957911354
ADAMTS2	0.0022402351291226346
ADAMTS3	0.0023137407990946627
ADAMTS4	0.0023190875977874836
ADAMTS5	0.0023406503980865313
ADAMTS7	0.00048232851473553015
ADAMTS8	0.002835361523048535
ADAMTS9	0.0005545195953851337
ADAMTSL1	0.000877663269104207
ADAMTSL2	0.001334646300863518
ADAMTSL4	0.0022229395715584
ADAP1	0.003013788780995131
ADAP2	0.0018563994002922816
ADAR	0.003019159929658289
ADARB1	0.0016054749092766205
ADCK1	0.0010237274433768189
ADCK2	0.000992534187564614
ADCY1	0.003104284500145641
ADCY10	0.003083198443269081
ADCY2	0.0031015870809664903
ADCY3	0.003103024194470471
ADCY4	0.0031010546034289277
ADCY5	0.0031102961884077788
ADCY6	0.003121163936845859
ADCY7	0.0031115079472978906
ADCY8	0.0031125742161316056
ADCY9	0.003103031433389594
ADCYAP1	0.002755907585062407
ADCYAP1R1	0.0030797132281981943
ADD1	0.0031238860791606886
ADD2	0.0029534877215605815
ADD3	0.0030855795774805137
ADGRA2	0.002758961791060223
ADGRB1	0.002648870537348044
ADGRB3	0.002295775484090506
ADGRD2	0.0014227367488055757
ADGRF1	0.0025878563817223355
ADGRF5	0.0017945841441220018
ADGRG1	0.0028988724656307725
ADGRG5	0.002396272727623703
ADGRL3	0.0010838098000793806
ADGRV1	0.0022703583656898973
ADH1A	0.0012849895622640837
ADH1B	0.0012849895622640856
ADH1C	0.0012849895622640824
ADH4	0.0012849895622640702
ADH5	0.002214926689504831
ADH6	0.0020095324566048083
ADH7	0.0014751930440849738
ADI1	0.0009286708338066571
ADIPOQ	0.002873475414932531
ADIPOR1	0.002560545294864021
ADIPOR2	0.002478371369741699
ADIRF	0.0029684938315134575
ADM	0.0029921500521258647
ADM2	0.002979433923291325
ADNP	0.0026106769470192887
ADNP2	0.0029024066667574524
ADORA1	0.0031002437774519664
ADORA2A	0.0030916229311444667
ADORA2B	0.0030816383279090626
ADORA3	0.0030015470705812785
ADPGK	0.002599078828834406
ADPRH	0.0012906958442209305
ADPRHL2	0.000738777491787718
ADRA1A	0.00310182592135459
ADRA1B	0.003089142975465358
ADRA1D	0.0030815160440578874
ADRA2A	0.003088895289535665
ADRA2B	0.003103725753519327
ADRA2C	0.0030973337963732185
ADRB1	0.0030934578695605997
ADRB2	0.0031236908876963237
ADRB3	0.003107728214981529
ADRBK1	0.0027336053452279036
ADRBK2	0.001554951005809141
ADRM1	0.0029024333735463135
ADSL	0.0029858751259162564
ADSS	0.002428004251987018
ADSS1	0.0017672522630914048
ADSS2	0.0020135525153661417
ADTRP	0.002836522464306787
AEBP1	0.0015202984753755419
AEBP2	0.0028857925220965443
AES	0.0023898386590800367
AFAP1	0.0026690724408674586
AFAP1L2	0.0031339736564773867
AFDN	0.003010548560569807
AFF1	0.0031229940406488775
AFF4	0.0029887380443711095
AFG1L	0.0019950166669323154
AFG3L2	0.0024707845814601823
AFP	0.0029200363712261843
AFTPH	0.0010515088685712302
AGA	0.002717993899939471
AGAP1	0.0021468868112853455
AGAP2	0.0029862370412092453
AGBL5	0.0016234264279527222
AGER	0.0030682638999995106
AGFG1	0.0027414037112761113
AGFG2	0.001218896890572182
AGGF1	0.002769405282094912
AGK	0.0029680677176620197
AGL	0.002801133017703149
AGO1	0.0029687085662135956
AGO2	0.003004521999578054
AGO3	0.0013797761225910012
AGO4	0.001768531675584945
AGPAT1	0.0004676553736392489
AGPAT2	0.0005586601094114781
AGPAT3	0.00012456957947677642
AGPAT5	0.0030436268778060243
AGPAT6	0.001889941608889182
AGPS	0.0018357327551284067
AGR2	0.0030082989239624074
AGR3	0.0008600391211464371
AGRN	0.003051501985686228
AGRP	0.0024328799317615032
AGT	0.0031265044779348094
AGTPBP1	0.0029960990928511464
AGTR1	0.003011739650825874
AGTR2	0.003116330147437717
AGTRAP	0.002837130483629965
AGXT	0.002441119498103913
AHCTF1	0.0028891360961323174
AHCY	0.002847872788161706
AHCYL1	0.002735049838341664
AHCYL2	0.002066429551342351
AHDC1	0.0024475409421369537
AHI1	0.002871761039284891
AHNAK	0.0026630112343848425
AHNAK2	0.001605919136299533
AHR	0.0031108544822723264
AHRR	0.003074942420369064
AHSA1	0.0029260582046171024
AHSA2	0.0020848866998192253
AHSG	0.0028423843818021345
AHSP	0.002749945994081595
AICDA	0.0026357323155180887
AIDA	0.0014242226360035367
AIF1	0.002944671241968218
AIF1L	0.0015730753310502189
AIFM1	0.0027699985929029794
AIFM2	0.003076991171983382
AIM2	0.0029796597497893066
AIMP1	0.0023629576717292666
AIMP2	0.002541432493153023
AIP	0.0028112742049847808
AIPL1	0.003077714147177023
AIRE	0.0029646820717998163
AJAP1	0.003017689145172229
AJUBA	0.003124823129800004
AK1	0.0014033537099875431
AK2	0.0027546297588029556
AK5	0.0029048334511020254
AK6	0.0027081084203250208
AKAP1	0.003083352044475078
AKAP10	0.0030676151892528405
AKAP11	0.0024857211026366563
AKAP12	0.0030942023617481435
AKAP13	0.0029853376735360115
AKAP14	0.0025216216215065996
AKAP17A	0.0024338522559313805
AKAP2	0.0014805215424272768
AKAP3	0.0014818508836323251
AKAP4	0.001218071878033717
AKAP5	0.0030346671002866163
AKAP6	0.0024959339303601484
AKAP7	0.002257956827410085
AKAP8	0.0028753013476290777
AKAP8L	0.002924449636616475
AKAP9	0.0029908456883393124
AKD1	0.0007871790324059352
AKIP1	0.0029934778679602406
AKIRIN2	0.0029032654588485043
AKNA	0.0023553856899366063
AKNAD1	0.002943248058359991
AKR1A1	0.0010783417994234456
