gene	kcore
16-5-5	298
CDC42	423
PARD3	367
PARD3B	319
EP300	539
A2M	405
RAC1	599
RAC2	599
RAC3	599
RHOA	599
AURKB	396
BIRC5	394
CDCA8	298
DYNC1H1	388
DYNC1I1	343
DYNC1I2	357
DYNC1LI1	343
DYNC1LI2	343
DYNLL1	381
DYNLL2	354
INCENP	298
NUP107	355
NUP133	357
NUP160	343
NUP37	359
NUP43	343
NUP85	353
NUP98	359
RANBP2	364
RANGAP1	340
SEC13	355
SEH1L	343
XPO1	421
ACTR2	375
ACTR3	378
AREG	396
ARPC1A	368
ARPC2	368
ARPC3	368
ARPC4	368
ARPC5	368
BTC	390
CBL	438
EGF	472
EGFR	557
EPGN	383
EREG	396
GRB2	472
HBEGF	389
ITSN1	368
OCRL	381
RPS27A	396
SH3GL2	383
SH3KBP1	372
TGFA	396
TRIP10	378
UBA52	396
UBB	396
UBC	396
VAMP2	478
WASL	396
ACTA2	308
PAFAH1B1	343
NGFR	396
SRC	587
ARHGEF11	298
ARHGEF12	303
NFATC2	396
TP53	472
EZR	511
IQGAP1	538
MAPRE1	317
ABL1	472
ACTB	396
ACTG1	356
ARPC1B	307
ARPC5L	298
BAIAP2	357
DIAPH1	298
DIAPH3	298
EPS8	289
FYN	472
ITGB1	536
LCK	472
PIK3R1	599
PLCG1	472
SOS1	472
WAS	357
YES1	539
NCK2	364
VASP	492
WIPF1	354
ABR	298
BCAR1	472
BCR	396
BNIP2	279
BOC	234
CDH15	190
CDH2	317
CDON	265
CLASP1	340
CLASP2	289
CRK	396
CRKL	396
CTNNA1	387
CTNNA2	275
CTNNB1	539
CTNND1	358
ENAH	269
EPHB2	354
EPHB3	280
JAK2	575
LRRK2	369
MAP2K6	359
MAPK11	599
MAPK12	599
MAPK14	599
MTOR	472
NCK1	378
NTRK2	371
PAK2	454
PAK4	352
ROBO1	230
SFN	395
SLIT2	230
SPAG9	255
VAV1	417
YWHAG	396
YWHAZ	435
MET	396
ABLIM1	354
DCC	354
DOCK1	314
NTN1	354
PTK2	539
TRIO	358
ABLIM2	354
ABLIM3	354
YWHAQ	396
SPI1	396
PTEN	396
AGRN	396
ARHGAP4	298
ARHGEF6	365
PLD1	396
ARHGAP25	282
GDI1	298
RAP1A	539
MAPK8	599
CXCR4	599
CXCL12	548
GNAI1	599
GNAI2	599
GNAI3	599
GNB1	599
