gene	leverage
16-5-5	-0.1352
CDC42	0.6454
PARD3	0.2612
PARD3B	-0.1395
EP300	0.8417
A2M	0.1489
RAC1	0.7182
RAC2	0.5387
RAC3	0.4623
RHOA	0.6766
AURKB	0.4553
BIRC5	0.3198
CDCA8	0.0192
DYNC1H1	0.5293
DYNC1I1	0.4191
DYNC1I2	0.4648
DYNC1LI1	0.409
DYNC1LI2	0.405
DYNLL1	0.6128
DYNLL2	0.4678
INCENP	0.0255
NUP107	0.2209
NUP133	0.2436
NUP160	0.1995
NUP37	0.2457
NUP43	0.1928
NUP85	0.2418
NUP98	0.2334
RANBP2	0.3184
RANGAP1	0.1373
SEC13	0.4519
SEH1L	0.2814
XPO1	0.6505
ACTR2	0.3748
ACTR3	0.2718
AREG	0.3759
ARPC1A	0.2409
ARPC2	0.2119
ARPC3	0.2336
ARPC4	0.2213
ARPC5	0.2305
BTC	0.1585
CBL	0.5875
EGF	0.533
EGFR	0.8004
EPGN	0.0565
EREG	0.2117
GRB2	0.7191
HBEGF	0.2081
ITSN1	0.2684
OCRL	0.2787
RPS27A	0.7685
SH3GL2	0.2379
SH3KBP1	0.2263
TGFA	0.3091
TRIP10	0.2581
UBA52	0.7627
UBB	0.7438
UBC	0.7625
VAMP2	0.2483
WASL	0.3617
ACTA2	0.1537
PAFAH1B1	0.3577
NGFR	0.2855
SRC	0.7759
ARHGEF11	-0.194
ARHGEF12	-0.1221
NFATC2	0.1862
TP53	0.8272
EZR	0.2869
IQGAP1	0.3982
MAPRE1	0.3013
ABL1	0.665
ACTB	0.6691
ACTG1	0.5255
ARPC1B	0.045
ARPC5L	-0.2214
BAIAP2	0.1244
DIAPH1	-0.1161
DIAPH3	-0.2149
EPS8	-0.1589
FYN	0.6983
ITGB1	0.5432
LCK	0.5932
PIK3R1	0.7327
PLCG1	0.6085
SOS1	0.5586
WAS	0.2367
YES1	0.5146
NCK2	0.2033
VASP	0.176
WIPF1	-0.1128
ABR	-0.2361
BCAR1	0.4727
BCR	0.3161
BNIP2	-0.2223
BOC	-0.4183
CDH15	-0.1386
CDH2	0.0783
CDON	-0.2879
CLASP1	0.3085
CLASP2	-0.0091
CRK	0.5174
CRKL	0.4412
CTNNA1	0.4522
CTNNA2	0.1316
CTNNB1	0.8046
CTNND1	0.2886
ENAH	-0.1118
EPHB2	0.009
EPHB3	-0.3016
JAK2	0.6487
LRRK2	0.156
MAP2K6	0.0916
MAPK11	0.6524
MAPK12	0.5962
MAPK14	0.7305
MTOR	0.4473
NCK1	0.3884
NTRK2	0.0839
PAK2	0.5315
PAK4	0.0441
ROBO1	-0.3129
SFN	0.4664
SLIT2	-0.4552
SPAG9	-0.3392
VAV1	0.5069
YWHAG	0.6286
YWHAZ	0.6991
MET	0.4177
ABLIM1	0.1336
DCC	-0.1702
DOCK1	-0.0107
NTN1	-0.2632
PTK2	0.6519
TRIO	-0.0471
ABLIM2	-0.0842
ABLIM3	-0.0243
YWHAQ	0.5418
SPI1	0.533
PTEN	0.4879
AGRN	0.1792
ARHGAP4	-0.2728
ARHGEF6	0.1685
PLD1	0.0375
ARHGAP25	-0.2433
GDI1	0.2738
RAP1A	0.3879
MAPK8	0.6896
CXCR4	0.4981
CXCL12	0.3049
GNAI1	0.5131
GNAI2	0.5323
GNAI3	0.4974
GNB1	0.5727
GNG2	0.5357
ARHGAP35	-0.0276
ACTA1	0.2872
ACTC1	0.1313
ACTG2	0.0421
CDH1	0.445
HTT	0.4445
JUP	0.3753
NECTIN1	-0.1867
OCLN	-0.0924
TNFAIP8	-0.0977
VCL	0.3139
ACTBL2	0.2024
ARHGAP10	-0.1843
CENPA	0.2942
CHN1	-0.068
CHN2	-0.0024
DMD	0.0135
DVL1	0.3879
FMNL1	0.1007
FMNL2	0.1808
GSK3B	0.6332
NCKIPSD	-0.0424
POTEKP	0.2374
RPS27	0.347
SRGAP2	0.0373
SYDE1	-0.2183
SYDE2	-0.2417
WHAMM	0.0022
WIPF2	-0.2716
WIPF3	-0.2793
YWHAE	0.6754
YWHAH	0.5332
GRIN1	0.3679
GRIN2B	0.3691
MYBPC3	-0.3156
CAPZB	0.2722
IQGAP3	-0.0088
PRKCE	0.5283
MAGI1	-0.2876
NF2	-0.1316
PIK3CA	0.6963
CALM3	0.5455
DLG4	0.3506
GRIN2A	0.2401
ITGB3BP	0.1933
MPP5	-0.4613
RASGRF1	0.2032
RASGRF2	0.2117
CENPE	0.2126
KIF18A	0.1648
KIF2A	0.2004
KIF2B	0.1329
KIF2C	0.1196
KIF5A	0.0349
KLC1	0.1473
KLC2	0.1089
RACGAP1	0.2348
B9D2	0.1627
CKAP5	0.1795
FBF1	0.1704
NDE1	0.2789
PLK1	0.6176
SEPTIN2	0.0228
TUBA1A	0.2284
TUBA4A	0.3076
ZW10	0.0928
RAP1B	0.3042
FKBP1A	0.0144
MAPK13	0.5967
PAK1	0.534
SMAD7	0.3017
TGFB1	0.5633
TGFBR1	0.4136
SMURF1	0.181
CDH5	0.1312
TGFBR2	0.3181
ARHGDIB	0.0992
ROCK1	0.1973
BDNF	0.0606
PRKCI	0.4695
PRKCZ	0.5912
ARHGAP5	-0.1647
VEGFA	0.538
HGF	0.2079
CSNK1A1	0.4109
GNAO1	0.4254
GNAZ	0.1467
STK11	0.0272
GNA13	0.2088
F2	0.2121
CAV2	0.0115
CDK4	0.6618
CLDN1	-0.389
F11R	-0.1083
NECTIN2	-0.2281
NECTIN3	-0.3806
NECTIN4	-0.6742
DEPDC1B	-0.336
PIK3CB	0.6258
PIK3CD	0.6012
PIK3R2	0.619
PIK3R3	0.5203
YWHAB	0.5606
ARHGEF7	0.2105
DAG1	-0.1554
LAMA3	-0.0291
LAMA5	-0.0288
LAMC1	0.0497
LAMC2	-0.117
MUSK	-0.4913
PAK3	0.0681
PAK5	-0.2576
PAK6	0.0113
CTSG	-0.1372
AHCTF1	-0.1157
BUB1	0.1635
BUB1B	0.1662
BUB3	0.2496
CDC20	0.3438
CENPC	-0.0644
CENPF	-0.0498
CENPH	-0.0684
CENPI	-0.0744
CENPK	-0.0688
CENPL	-0.0744
CENPM	-0.0744
CENPN	-0.0744
CENPO	-0.0462
CENPP	-0.0744
CENPQ	-0.0744
CENPS	0.0998
CENPT	-0.036
CENPU	-0.0443
CLIP1	0.0228
DIAPH2	-0.2175
DSN1	-0.1225
ERCC6L	-0.142
KNL1	-0.0592
KNTC1	-0.1349
MAD1L1	0.0964
MAD2L1	0.226
MIS12	-0.1225
NDC80	0.0026
NDEL1	0.1611
NSL1	-0.1172
NUDC	-0.0681
NUF2	-0.0832
PMF1	0.2268
PPP1CC	0.4171
RCC2	-0.0213
SGO1	-0.0838
SGO2	-0.1279
SKA1	-0.0676
SKA2	-0.1181
SPC24	-0.1457
SPC25	-0.1052
SPDL1	-0.1414
TAOK1	-0.0761
ZWILCH	-0.1436
ZWINT	-0.0776
HAP1	0.2108
LATS1	-0.1187
KDR	0.3074
AKAP13	-0.0334
ARHGDIA	0.1027
MAP3K11	-0.0959
MAP3K5	0.3993
PDK1	-0.1889
RPS6KB1	0.4148
SOS2	0.2875
TNK2	-0.3444
EXOC7	-0.0252
LCP2	0.3609
GDI2	0.1517
APC	0.3365
ARHGAP17	-0.1372
PLG	0.0788
CD44	0.1345
ROCK2	0.0517
TIAM1	0.2259
OBSCN	-0.2239
CAV3	0.1504
GZMA	-0.5893
EFNB1	-0.0103
EFNB2	-0.07
EFNB3	-0.2949
RALBP1	-0.043
CD28	0.0133
MAPK10	0.5677
MAPK9	0.5894
ARHGEF4	-0.2363
MEN1	0.0475
SCRIB	-0.2563
SPATA13	-0.2271
NME1	-0.173
ARHGEF5	-0.1107
BCAR3	-0.4668
CLDN3	-0.2801
PARD6B	-0.0195
GRAP2	0.2433
VAV2	0.3602
VAV3	0.3333
MAP2K3	-0.0207
ARAP1	-0.1
ARAP2	-0.2795
ARAP3	-0.2175
RAB1A	0.2662
KALRN	-0.0374
GIT1	-0.008
MYO9A	-0.2107
MYO9B	-0.1759
ARHGAP1	-0.1477
ARHGAP26	-0.1889
ARHGAP11A	-0.2992
ARHGAP11B	-0.3049
ARHGAP12	-0.2877
ARHGAP15	-0.0413
ARHGAP18	-0.2328
ARHGAP19	-0.2577
ARHGAP20	-0.3049
ARHGAP21	-0.1469
ARHGAP22	-0.3
ARHGAP23	-0.3049
ARHGAP24	-0.1642
ARHGAP30	-0.2999
ARHGAP28	-0.3049
ARHGAP29	-0.15
ARHGAP31	-0.2999
ARHGAP32	-0.2742
ARHGAP33	-0.2815
ARHGAP36	-0.3049
ARHGAP39	-0.2875
ARHGAP40	-0.3049
ARHGAP44	-0.2943
ARHGAP45	-0.3049
GMIP	-0.2617
ARHGEF1	-0.0273
ARHGAP6	-0.3143
ARHGAP8	-0.2084
ARHGAP9	-0.0579
MCF2	-0.2042
ARHGDIG	0.0138
CTNNAL1	-0.1535
KIAA0142	-0.2364
ARHGEF16	-0.2912
ARHGEF17	-0.2825
ARHGEF18	-0.1325
CGN	0.1223
PARD6A	0.0667
ARHGEF19	-0.2649
ARHGEF2	0.0245
NOD1	-0.2862
TUBA1B	-0.0084
TUBA1C	-0.1095
TUBA3D	-0.1566
TUBA3E	-0.0819
TUBA8	-0.1548
TUBAL3	-0.2331
ARHGEF25	-0.0825
ARHGEF26	-0.3049
ARHGEF3	-0.2628
GIT2	-0.0284
SRGAP1	-0.1526
ARHGEF9	-0.1945
CDC42BPA	-0.2118
PARD6G	-0.253
MAP3K1	0.2784
CD80	-0.0018
CD86	-0.0189
LAT	0.3657
KTN1	-0.0984
GRIN2C	0.0751
GRIN2D	0.1905
NGEF	-0.0745
BPGAP1	-0.3049
FGD1	-0.22
YWHAE/FAM22A	-0.1178
YWHAE/FAM22B	-0.1178
GRIK2	-0.0989
IQGAP2	-0.0246
FGD4	-0.1592
PLEKHG5	-0.2747
PRSS3	-0.3913
TP53BP2	0.0034
CLDN6	-0.4833
CLDN9	-0.5565
CDC42EP4	-0.0607
CDC42EP5	-0.0874
DEPDC7	-0.3049
DLC1	-0.1819
DNMBP	-0.3333
DOCK10	-0.2185
DOCK11	0.035
DOCK6	0.0299
DOCK7	0.0049
DOCK9	0.2667
ECT2	-0.1985
F2RL2	-0.1604
FAM13A	-0.3049
FAM13B	-0.3049
FARP2	0.0264
FGD2	-0.293
FGD3	-0.3046
GRIK1	-0.2126
GRIK3	-0.108
GRIK4	-0.2904
GRIK5	-0.2015
GRIN3A	0.024
INPP5B	-0.0834
ITSN2	-0.358
LIMK2	-0.5534
MAP3K9	0.0809
MCF2L	-0.1858
NET1	-0.2674
OPHN1	-0.1817
PLEKHG2	-0.1962
PREX1	0.1029
S1PR4	-0.1009
SRGAP3	-0.2656
STARD13	-0.2004
STARD8	-0.3011
TAGAP	-0.3049
TIAM2	-0.2822
CLDN10	-0.5925
CLDN18	-0.5925
CLDN11	-0.5581
CLDN14	-0.4082
CLDN15	-0.4082
CLDN16	-0.5114
CLDN19	-0.5651
CLDN17	-0.4082
CLDN2	-0.2887
CLDN20	-0.4082
CLDN22	-0.4082
CLDN23	-0.4082
CLDN24	-0.4082
CLDN25	-0.4082
CLDN4	-0.3071
CLDN8	-0.5114
CLDN5	-0.1075
CLDN7	-0.4174
PRSS2	-0.474
PRSS1	-0.4089
FRMD4A	-0.5682
FRMD4B	-0.5779
