gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
AKT1	711772	247	36	3486570	899760	0	28	1	0	50	43	51731310	0	0
BSX	698665	416	8	1573602	506604	0	3	1	0	50	33	46479450	0	0
CASP8	571730	386	37	4184862	946704	0	15	0	0	47	34	54374844	0	0
CBFB	1068656	125	48	1446462	357948	0	23	1	0	13	4	11361426	0	0
CBY1	1056349	262	45	914430	250368	0	2	0	0	50	34	66771972	0	0
CCL4L2	691971	684	13	1318344	377508	0	2	0	0	50	41	57032070	0	0
CDH1	924096	240	30	6157488	1790718	0	125	1	0	50	20	49908318	0	0
CDKN1B	791330	136	44	1392672	382398	0	8	1	0	20	21	23825058	0	0
CHRND	279084	156	34	3633270	1061130	0	4	0	0	50	43	56996862	0	0
CTCF	1074126	147	45	5226432	1298784	0	22	3	0	38	32	42411948	0	0
EIF4A2	449980	384	25	2956494	757950	0	11	0	0	50	29	54951864	0	0
EPM2AIP1	392784	473	21	4164324	1187292	0	6	0	0	50	54	82166670	0	0
FAM169A	424900	581	31	4789266	1257708	0	5	1	0	50	33	64088340	0	0
FOXA1	67481	487	-58	3184368	990714	0	29	1	0	50	60	47911242	0	0
GPS2	1911735	206	36	2381430	628854	0	13	0	0	50	33	60636000	0	0
IL24	467839	385	39	1574580	320784	0	2	0	0	50	34	62245788	0	0
KCNC3	1072052	528	26	5029854	1689006	0	2	2	0	50	34	51558204	0	0
MAP2K4	45834	583	-52	2897814	746214	0	43	1	0	50	62	59227680	0	0
MAP3K1	200595	412	38	10491984	3048426	0	127	4	0	26	23	30162498	0	0
MEN1	2261775	230	61	4205400	1322256	0	10	0	0	50	41	63585648	0	0
MOS	344171	552	20	2279718	771642	0	5	0	0	50	55	75180816	0	0
NPY1R	74427	1197	-18	2679720	720786	0	6	0	0	43	45	50807100	0	0
PICK1	1478013	200	76	2993658	808806	0	2	1	0	50	21	50238882	0	0
PIK3CA	401889	613	11	7720332	1923726	0	382	6	0	1	6	2413704	0	0
PKNOX2	412479	731	16	3364320	916386	0	7	0	0	36	39	51625686	0	0
PTEN	259678	300	34	2961384	688512	0	53	0	0	50	54	50102940	0	0
RB1	349930	450	41	6756024	1726170	0	26	2	0	50	33	61829160	0	0
RGS4	315405	691	-14	2209302	516384	0	5	0	0	50	38	49144500	0	0
RHOA	1623187	201	33	1387782	366750	0	4	0	0	50	24	53876064	0	0
RPL5	582788	274	4	2174094	542790	0	4	0	0	50	40	66500088	0	0
SAAL1	631291	436	20	3473856	847926	0	4	0	0	50	34	68149974	0	0
SLC25A16	782017	294	35	2354046	670908	0	2	0	0	47	38	65768544	0	0
TBX3	32369	548	-30	5054304	1576536	0	33	0	0	2	0	4366770	0	0
TMEM167A	230539	717	8	542790	134964	0	2	0	0	50	30	57373392	0	0
TP53	2069567	213	34	3021042	834234	0	357	1	0	50	31	50684850	0	0
TRAT1	107009	961	-15	1383870	320784	0	2	0	0	50	41	62121582	0	0
ZFP36L1	543449	259	46	2267982	727632	0	10	0	0	50	37	51092676	0	0
RUNX1	164915	429	45	3402462	1057218	0	40	2	0	6	7	5359440	4.884981e-15	2.424750e-12
GATA3	182932	675	-2	3033756	930078	0	130	2	0	14	15	12398106	8.881784e-15	4.295595e-12
NCOR1	954548	370	-18	17188350	4825452	0	46	2	0	5	9	11379030	5.769785e-11	2.720742e-08
ARID1A	975965	182	27	15646044	4698312	0	36	1	0	0	1	4698312	2.877292e-09	1.323695e-06
PIK3R1	48999	619	32	5551128	1376046	0	22	3	0	6	12	7736958	3.323003e-07	1.492345e-04
BRCA1	1466229	201	27	13519872	3350628	0	23	2	0	43	27	40319028	2.364301e-06	1.037103e-03
MYB	150100	410	32	5438658	1444506	0	12	0	0	4	0	5704674	2.776697e-05	1.190319e-02
KDM6A	59340	NaN	36	9982446	2686566	0	14	1	0	41	28	52317132	3.657956e-05	1.533253e-02
NRIP1	103852	526	8	8007864	2193654	0	12	0	0	13	3	18964398	1.454507e-04	5.964112e-02
SPEN	823686	169	28	24798168	7625466	0	30	9	0	50	32	52408086	2.020569e-04	8.108930e-02
BRCA2	221300	462	44	24219192	6179982	0	24	0	0	1	0	6938910	3.016109e-04	1.185205e-01
PLK2	125347	446	5	4909560	1281180	0	8	0	0	50	25	45451572	3.130407e-04	1.205015e-01
RABEP1	1246822	382	24	6252354	1543284	0	8	0	0	12	2	12470478	4.423959e-04	1.668894e-01
ABCA7	2387949	206	26	14621100	4804914	0	11	0	0	11	0	16846050	7.754872e-04	2.810785e-01
MSH5	2509866	183	32	6055776	1733994	0	8	0	0	38	6	43539582	7.790569e-04	2.810785e-01
MED23	147816	864	7	9865086	2592678	0	15	1	0	26	20	30505776	7.897975e-04	2.810785e-01
NPAS4	1963418	182	55	5454306	1695852	0	12	0	0	50	26	57649188	9.432517e-04	3.294743e-01
NF1	462449	396	26	20390322	5449416	0	36	4	0	5	6	7727178	1.139299e-03	3.907173e-01
GRIA3	226353	NaN	-6	6641598	1761378	0	13	2	0	50	28	61827204	1.199612e-03	4.040549e-01
IL11RA	731413	298	51	2937912	932034	0	7	1	0	50	18	44673084	1.256070e-03	4.156491e-01
CA11	1597109	242	31	2284608	705138	0	6	1	0	50	27	57090750	1.736920e-03	5.648584e-01
DMD	31871	NaN	-12	27353682	6806880	0	51	6	0	2	6	10733550	1.815340e-03	5.803550e-01
BACH2	294466	601	13	5796606	1661622	0	16	1	0	14	9	17087616	1.900455e-03	5.974396e-01
POGZ	1356854	163	37	9766308	2896836	0	11	0	0	16	2	23286180	2.251052e-03	6.960549e-01
RAB42	816470	183	25	716874	216138	0	3	0	0	50	41	56653584	2.860122e-03	8.701231e-01
ACVR1B	493265	371	27	3842562	1083624	0	8	1	0	50	19	45519054	3.036012e-03	8.945255e-01
SPRED2	545446	346	36	2994636	807828	0	4	1	0	50	30	60185142	3.056252e-03	8.945255e-01
GPRASP2	123687	NaN	23	5772156	1612722	0	14	1	0	50	22	43647162	3.082608e-03	8.945255e-01
GYG1	356219	442	8	2739378	602448	0	6	0	0	50	28	50057952	3.799064e-03	1
CTPS2	295447	NaN	30	4278750	1099272	0	7	1	0	50	38	62325006	3.829626e-03	1
LRCH3	520915	322	36	5038656	1454286	0	8	0	0	10	3	11330130	3.947235e-03	1
XPNPEP3	969480	269	43	3590238	992670	0	8	1	0	20	9	27200136	3.961338e-03	1
MED12	759088	NaN	27	15377094	4310046	0	25	7	0	50	55	71183730	4.029492e-03	1
ASXL2	602691	287	31	9851394	2917374	0	12	2	0	50	28	68370024	4.109566e-03	1
UBAP2	777874	170	29	7875834	2311014	0	7	0	0	11	0	11290032	4.253601e-03	1
HTATSF1	374989	NaN	23	5475822	1284114	0	14	1	0	50	30	63336258	4.406234e-03	1
NUAK1	143018	473	7	4582908	1314432	0	11	0	0	41	19	38858874	4.444904e-03	1
S100P	501655	278	47	679710	182886	0	2	0	0	50	31	54092202	4.607590e-03	1
ACTL6B	1884430	247	60	3069942	841080	0	5	1	0	22	10	27144390	4.653034e-03	1
RNF148	53042	1027	6	2104656	588756	0	5	1	0	50	45	63477090	4.717361e-03	1
GPATCH4	2049505	180	37	2783388	666996	0	6	0	0	50	33	52405152	5.043626e-03	1
BCAS1	163555	415	2	4109556	1168710	0	10	1	0	50	39	57316668	5.390278e-03	1
RPL41	2878044	171	40	224940	39120	0	3	0	0	14	11	15784920	5.424162e-03	1
TEX15	352456	346	11	19603032	4989756	0	30	4	0	50	41	60424752	5.501455e-03	1
SMTNL2	1239739	318	24	3155028	999516	0	4	1	0	50	25	49028118	5.512372e-03	1
OR10Z1	179404	940	1	2094876	666018	0	8	0	0	50	53	63125988	5.820682e-03	1
STAG2	338292	NaN	7	9318384	2238642	0	13	0	0	10	2	10502742	5.989079e-03	1
