gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
B2M	673122	428	36	397814	105964	0	6	0	0	50	25	25273312	0	0
DEFB116	562665	594	-29	339444	80820	0	5	0	0	50	32	21639106	0	0
DNAJA3	753259	148	40	1593501	445857	0	2	0	0	50	23	23422983	0	0
ELF3	751933	168	31	1225321	321035	0	9	0	0	50	26	25450667	0	0
KRAS	259193	512	16	769586	185437	0	206	2	0	20	20	8650883	0	0
NRAS	600650	472	11	631743	162987	0	30	0	0	50	33	26523777	0	0
PTAR1	288169	640	-11	1312876	356057	0	3	0	0	50	34	29042667	0	0
PTEN	259678	300	34	1359572	316096	0	14	1	0	50	31	23002270	0	0
SMAD4	156084	422	41	1802286	486267	0	56	1	0	50	20	31281381	0	0
SOX9	159643	606	-41	1602032	469654	0	59	0	0	33	27	18627214	0	0
TCF7L2	156660	435	-9	2262511	617375	0	32	1	0	50	47	24159792	0	0
TGIF1	444864	153	17	1305243	435081	0	19	0	0	41	17	25349193	0	0
PIK3CA	401889	613	11	3544406	883183	0	135	1	0	11	11	6658670	8.881784e-16	1.288679e-12
FBXW7	117295	501	51	2740696	734564	0	72	1	0	28	23	14408859	1.443290e-15	1.944524e-12
TP53	2069567	213	34	1386961	382997	0	314	0	0	50	30	23269425	1.554312e-15	1.954496e-12
APC	247811	399	28	9053187	2520237	0	565	2	0	15	12	7800477	2.109424e-15	2.486747e-12
SMAD2	108087	185	42	1538723	406345	0	19	0	0	25	13	10873882	1.431300e-12	1.588069e-09
ZFP36L2	227876	208	47	1489782	515901	0	14	0	0	12	4	5444125	3.151379e-11	3.302295e-08
ARID1A	975965	182	27	7183102	2156996	0	23	1	0	8	8	9047799	2.613403e-09	2.594421e-06
PCBP1	686152	156	52	1097356	345281	0	23	0	0	50	30	20142589	5.242777e-08	4.944463e-05
RNF43	782135	399	22	2439866	771382	0	10	2	0	50	37	36857063	7.738470e-07	6.950620e-04
CALD1	390559	513	17	2697592	655091	0	14	1	0	50	25	28321573	3.056865e-06	2.620845e-03
SMAD3	444194	194	45	1476312	393324	0	14	1	0	50	21	21569511	5.201767e-06	4.265901e-03
HECW1	496063	617	13	5197624	1447127	0	37	6	0	50	40	23569357	9.632514e-06	7.570353e-03
RGMB	141802	729	11	1501456	455735	0	7	0	0	22	15	14016882	1.179547e-05	8.899444e-03
ATM	415837	582	16	10146053	2541340	0	36	0	0	0	0	2541340	3.785200e-05	2.681987e-02
MAP2K4	45834	583	-52	1330387	342587	0	12	0	0	50	57	27191440	3.839128e-05	2.681987e-02
ACVR2A	90992	951	-2	1697669	433285	0	10	0	0	20	24	13764544	4.680864e-05	3.153231e-02
ING1	560003	274	51	1465536	443163	0	8	0	0	50	19	21010955	3.416780e-04	2.220045e-01
ACVR1B	493265	371	27	1764121	497492	0	10	0	0	50	14	20897807	3.530980e-04	2.220045e-01
HNRNPAB	672705	448	46	1107234	281523	0	5	1	0	50	50	32091826	4.933633e-04	3.001877e-01
TXLNB	192994	504	14	2228836	587741	0	9	0	0	38	10	18799181	6.085454e-04	3.586995e-01
ELMO1	63863	859	16	2454234	600762	0	15	1	0	44	51	20931482	6.501498e-04	3.627482e-01
SPANXD	NaN	NaN	NaN	326423	83065	0	7	0	0	50	78	50085501	6.538776e-04	3.627482e-01
ZNF679	NaN	NaN	NaN	1362266	326872	0	8	1	0	50	79	50329308	7.884694e-04	4.249174e-01
HNRNPA3	374611	145	30	1251363	334056	0	4	0	0	50	23	26885222	8.825714e-04	4.624184e-01
PDYN	461602	543	28	805955	235276	0	9	0	0	50	40	24754717	9.234162e-04	4.707426e-01
ATP1B4	484939	NaN	23	1194340	292748	0	6	0	0	33	15	14561968	1.347724e-03	6.689677e-01
MARK1	544426	520	-9	2603302	704930	0	13	1	0	50	31	22586047	1.492868e-03	7.220124e-01
CXCL16	1272092	222	28	864325	272543	0	4	0	0	50	28	30134186	1.847336e-03	8.690261e-01
