gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
ATRX	548517	NaN	8	6865811	1655374	0	29	2	0	50	17	21747019	0	0
IDH1	260367	539	17	1142499	286464	0	23	0	0	50	17	24089832	0	0
PIK3R1	48999	619	32	2117148	524811	0	36	0	0	50	10	21141640	0	0
PTEN	259678	300	34	1129444	262592	0	124	0	0	50	10	19108790	0	0
RB1	349930	450	41	2576684	658345	0	35	1	0	50	11	23581060	0	0
TP53	2069567	213	34	1152197	318169	0	136	0	0	50	14	19330725	1.110223e-16	3.490171e-13
PIK3CA	401889	613	11	2944462	733691	0	37	0	0	50	17	22877582	2.220446e-16	5.983150e-13
NF1	462449	396	26	7776677	2078356	0	48	1	0	1	1	2294696	2.453748e-11	5.785325e-08
EGFR	423489	336	-13	3540143	934738	0	110	8	0	4	9	2139155	2.617856e-10	5.486444e-07
RPL5	582788	274	4	829179	207015	0	7	0	0	50	19	25362508	1.325620e-07	2.500384e-04
LZTR1	577297	192	58	2277538	636338	0	13	0	0	50	7	22007746	1.136057e-06	1.948028e-03
KEL	294033	676	2	1984733	556516	0	16	2	0	50	16	18234478	1.634080e-06	2.568501e-03
CDKN2C	290894	417	2	443124	133161	0	4	0	0	50	15	23934664	5.844679e-06	8.480180e-03
SPTA1	177547	940	1	6672597	1679619	0	34	4	0	42	29	19566834	1.012811e-05	1.364546e-02
STAG2	338292	NaN	7	3553944	853797	0	16	0	0	3	0	1805693	2.497298e-05	3.140269e-02
PROKR2	504598	489	14	1004116	291686	0	8	0	0	50	5	23254312	3.803695e-05	4.484081e-02
GABRA6	12083	986	-6	1223813	336073	0	14	1	0	50	22	19501559	9.235499e-05	1.024706e-01
QKI	81134	1131	1	1011576	277512	0	6	0	0	50	23	20501199	1.350819e-04	1.415508e-01
MSL3	53978	NaN	41	1512888	380460	0	6	1	0	50	13	23074899	3.938346e-04	3.909742e-01
ADAMTS16	89385	683	-23	3298439	912358	0	12	2	0	50	17	24020081	4.461156e-04	4.207316e-01
KDR	175189	706	3	3702025	983228	0	15	3	0	50	21	21268833	4.930265e-04	4.428317e-01
TCF12	203021	599	27	2004875	544207	0	6	0	0	50	11	22333375	5.291931e-04	4.467117e-01
RIMS2	198819	1035	-8	3807584	1044400	0	19	3	0	50	33	21729861	5.447127e-04	4.467117e-01
ASTL	821367	251	45	1134666	350247	0	5	0	0	50	8	20303136	6.259666e-04	4.919576e-01
SULT1B1	14468	1020	1	837758	190603	0	9	1	0	14	15	8785642	6.716284e-04	5.067302e-01
OPRK1	147912	861	-14	1000013	292432	0	4	0	0	50	16	25957070	7.303224e-04	5.298208e-01
TAS2R41	371260	379	1	795236	238720	0	5	0	0	50	16	21255778	7.724259e-04	5.396110e-01
OR9G1	NaN	NaN	NaN	785911	239093	0	5	0	0	50	40	41777865	9.106357e-04	5.961912e-01
TRAT1	107009	961	-15	527795	122344	0	5	0	0	50	31	23692587	9.166337e-04	5.961912e-01
TCHH	527465	349	35	5236547	1293937	0	16	2	0	50	10	22625807	1.234416e-03	7.761182e-01
OR8K3	10317	969	-43	809037	239466	0	8	1	0	15	9	6190681	1.386396e-03	8.435551e-01
HNF4A	769430	376	16	1430082	406197	0	7	1	0	50	11	22128225	1.496659e-03	8.592786e-01
OR52B2	465433	806	-1	822092	264457	0	6	0	0	50	10	20992067	1.572446e-03	8.592786e-01
SMARCAL1	590685	384	31	2551693	728096	0	4	1	0	50	4	23687365	1.574544e-03	8.592786e-01
SHPK	504736	354	20	1244701	391277	0	4	0	0	50	7	24512441	1.594463e-03	8.592786e-01
WNT2	331093	392	5	970919	258862	0	7	0	0	50	19	22393801	1.691215e-03	8.637556e-01
DAO	494991	393	49	945555	267441	0	6	0	0	40	8	20188625	1.717749e-03	8.637556e-01
UBE2W	257905	407	34	466250	110035	0	4	0	0	50	9	20260987	1.758812e-03	8.637556e-01
UGT2A3	NaN	NaN	NaN	1419265	377849	0	7	0	0	50	40	41916621	1.785944e-03	8.637556e-01
PDGFRA	51422	518	27	2970945	786657	0	18	2	0	17	10	7556607	1.890722e-03	8.915702e-01
TRAPPC6B	314417	166	13	449838	106305	0	2	0	0	50	10	20160650	1.971046e-03	8.927694e-01
COL1A2	461036	499	-14	3599450	1217845	0	13	1	0	50	12	24375177	1.987929e-03	8.927694e-01
TRPV6	284406	645	18	1944076	555770	0	10	1	0	46	18	20713436	2.427545e-03	1
PRAME	190814	641	23	1339443	395007	0	6	0	0	50	11	20685834	2.603883e-03	1
CDKN2A	225405	357	-15	889605	231633	0	3	0	0	50	18	23051773	2.803285e-03	1
TMPRSS6	699535	379	44	2174217	627759	0	7	0	0	50	11	27866830	2.875911e-03	1
COL6A3	423594	399	10	8361541	2552066	0	22	3	0	24	14	16853632	3.038554e-03	1
NEU2	410526	294	33	975768	306606	0	6	0	0	50	18	20557895	3.128137e-03	1
C12orf54	904892	390	11	378968	86536	0	2	0	0	50	12	15848397	3.186926e-03	1
GABRB2	11638	1049	7	1386814	375611	0	8	0	0	8	1	4352910	3.313356e-03	1
ATG12	384075	759	1	376357	110408	0	2	0	0	50	22	24341234	3.466380e-03	1
SLC5A7	122653	911	-16	1528927	457298	0	10	0	0	44	25	20545213	3.544574e-03	1
SIRPG	421072	486	32	1018290	308844	0	4	0	0	50	9	17454535	3.553333e-03	1
DPT	358217	440	9	563976	129804	0	4	0	0	50	13	22141280	3.677374e-03	1
HOXA6	356045	385	28	617315	172699	0	4	0	0	50	11	23795908	3.794799e-03	1
SLC4A1	1009890	175	40	2401747	744881	0	6	1	0	50	10	30089910	3.915977e-03	1
KRTAP20-2	28000	1055	-80	170088	50355	0	3	0	0	50	36	16708908	3.916951e-03	1
DEPDC5	557139	336	19	4402892	1159657	0	5	0	0	50	7	23140547	3.977647e-03	1
IL4R	227872	560	25	2194732	636338	0	7	0	0	50	7	19486639	4.025399e-03	1
PCDH19	128045	NaN	-15	2974302	905271	0	6	2	0	50	6	19473584	4.652490e-03	1
TPTE2	288628	778	-16	1481929	363302	0	7	0	0	20	6	6299224	4.683589e-03	1
FRA10AC1	471978	399	17	934365	182397	0	2	0	0	50	6	20973044	4.851906e-03	1
OR5AR1	NaN	NaN	NaN	807545	234244	0	7	1	0	33	25	24121910	5.080881e-03	1
TGFA	715918	463	13	439394	123463	0	4	0	0	50	20	20286351	5.179007e-03	1
SEMG1	842540	324	25	1248058	317423	0	8	0	0	38	14	18118102	5.193208e-03	1
GGTLC2	179695	641	22	583372	171953	0	2	0	0	50	13	21074500	5.303639e-03	1
F5	294416	415	11	5994483	1582266	0	11	0	0	6	0	4170140	5.533979e-03	1
AZGP1	1584669	391	36	805680	213729	0	5	0	0	50	17	19821220	5.852234e-03	1
SCGB1D1	2778889	450	53	246553	70124	0	2	0	0	50	16	21465404	5.904072e-03	1
KRT222	953708	269	13	813140	205150	0	3	0	0	50	15	21082706	6.325293e-03	1
TMEM200A	126083	954	23	1284985	371135	0	4	0	0	50	14	22722041	6.458339e-03	1
ACSM4	1157790	439	27	1576298	427831	0	6	0	0	43	11	19349748	6.550917e-03	1
SNX16	156346	680	6	948166	241331	0	4	0	0	50	25	27140972	6.641567e-03	1
BCOR	377184	NaN	42	4599836	1357720	0	8	2	0	50	14	26200266	6.869018e-03	1
TSPAN16	1385739	197	31	655361	197317	0	3	0	0	50	5	23291985	7.181721e-03	1
KLF17	865527	167	38	1024258	298400	0	5	0	0	50	15	21255032	7.359295e-03	1
CDH18	4731	1195	-17	2136544	563603	0	12	1	0	50	37	26042114	7.392449e-03	1
DRD5	207324	923	30	1229408	375238	0	8	1	0	50	17	18852539	7.582181e-03	1
MX2	241283	506	46	1954147	507653	0	6	0	0	28	2	12516761	7.695807e-03	1
KCTD2	1111289	171	31	697137	213729	0	2	0	0	50	3	18163981	7.881064e-03	1
RUVBL2	1998663	190	39	1260367	364421	0	3	0	0	50	6	23723919	7.955069e-03	1
SCN9A	93566	908	-9	5366724	1389798	0	15	1	0	50	27	31870985	8.076231e-03	1
CCDC12	489602	371	43	500193	133161	0	2	0	0	50	7	20519849	8.083340e-03	1
KCNC4	532510	400	38	1797487	574793	0	3	1	0	50	5	21842880	8.471360e-03	1
KRT23	1036346	358	5	1148467	302876	0	4	0	0	47	8	12952052	8.490493e-03	1
SEMA3E	74057	955	-30	2131695	544953	0	8	0	0	5	0	2581533	8.540348e-03	1
OR5P2	103028	823	-1	828060	256251	0	5	0	0	50	24	23381132	8.753247e-03	1
NDUFA4	142078	1098	-11	230514	58188	0	2	0	0	50	32	29379718	8.900849e-03	1
AXIN1	1444992	205	40	2271570	670281	0	5	0	0	21	5	14300074	8.912025e-03	1
RBM47	247828	341	64	1543101	468861	0	10	2	0	11	3	4614383	8.931427e-03	1
DMRTB1	552240	385	25	873939	293178	0	4	1	0	50	12	20434805	9.139416e-03	1
STARD3NL	161770	578	11	654242	170461	0	3	0	0	50	14	20747752	9.206761e-03	1
MMP13	374035	482	-10	1298413	328613	0	6	0	0	50	14	26200639	9.228918e-03	1
ZFP42	19937	551	-33	822092	226411	0	8	1	0	23	13	9587219	9.276415e-03	1
NRAS	600650	472	11	524811	135399	0	4	0	0	50	13	22034229	9.316142e-03	1
C15orf48	214586	299	16	240585	59307	0	2	0	0	50	18	18349362	9.345526e-03	1
MATK	2172842	204	36	1426352	423355	0	6	0	0	50	13	24713861	9.524199e-03	1
RNF168	1173736	125	34	1542728	402094	0	5	0	0	50	12	24457610	9.673465e-03	1
CSF2	362855	407	21	393888	108543	0	2	0	0	50	13	22718684	9.789545e-03	1
OR4D11	430021	507	-1	793371	254013	0	3	0	0	50	13	22255418	1.004460e-02	1
ODF4	772200	257	20	687066	187992	0	3	0	0	50	4	18126681	1.012542e-02	1
FAM120B	366503	600	-4	2446134	656853	0	7	0	0	50	16	17096455	1.038483e-02	1
BCL2	207116	522	60	634846	212237	0	2	0	0	50	11	15499642	1.039510e-02	1
SIGLEC8	393294	583	17	1297294	410300	0	5	1	0	13	4	6874390	1.069843e-02	1
IL18RAP	230715	671	4	1631129	427831	0	6	0	0	50	20	20274042	1.070648e-02	1
RXRA	300063	295	42	1236122	358453	0	4	1	0	50	14	19885749	1.086099e-02	1
KLRG1	301954	416	11	523692	134280	0	2	0	0	50	11	25294995	1.087024e-02	1
FIBP	3779084	287	42	993672	271917	0	2	0	0	50	9	20684715	1.087221e-02	1
ACSM2B	166410	726	-6	1563616	434918	0	6	0	0	50	15	21516132	1.117053e-02	1
HHIPL2	227631	467	-6	1920577	551294	0	7	1	0	50	18	18548171	1.192120e-02	1
PXK	574675	218	36	1599051	422982	0	3	0	0	50	19	24540043	1.204053e-02	1
SEMA3C	114018	419	-27	2061944	538612	0	11	0	0	18	11	9303366	1.234644e-02	1
PTPN3	352374	431	12	2519615	660583	0	5	1	0	50	11	23821272	1.242110e-02	1
SLC7A13	192785	1147	3	1220829	375984	0	4	0	0	50	15	18517212	1.274593e-02	1
OR5K4	414958	885	-14	838131	240585	0	6	0	0	50	19	19425840	1.312829e-02	1
AADACL4	145424	454	23	1067153	315931	0	4	0	0	50	10	20599671	1.319736e-02	1
LRRC18	NaN	NaN	NaN	688558	197690	0	5	0	0	50	40	41736462	1.367688e-02	1
MRGPRE	583782	421	36	776213	277885	0	3	0	0	50	6	22086449	1.372994e-02	1
NDRG4	678092	320	0	1082073	301011	0	2	0	0	50	10	21999540	1.378543e-02	1
ENC1	293932	567	26	1543474	446108	0	6	0	0	34	5	16442586	1.386420e-02	1
NMS	226558	642	9	453195	108543	0	2	0	0	50	15	24314751	1.411113e-02	1
PIM1	705207	236	50	839250	237228	0	2	0	0	50	14	21775367	1.411679e-02	1
LILRB2	717623	458	-6	1582639	486392	0	7	2	0	50	18	18889093	1.413399e-02	1
KCNV1	102383	890	-18	1297667	393142	0	5	1	0	12	3	7863959	1.424401e-02	1
OSGEP	464497	395	17	904898	267814	0	3	0	0	50	5	22406856	1.454692e-02	1
CCL14	779228	525	19	309590	75346	0	2	0	0	50	22	22378135	1.460069e-02	1
IMPG1	187724	674	-13	2177574	572928	0	6	1	0	50	35	29446112	1.541706e-02	1
MMP3	468929	506	-21	1299532	347636	0	7	0	0	50	27	28060790	1.560775e-02	1
OR2T34	116628	850	-20	822465	248418	0	3	0	0	50	14	20470240	1.570767e-02	1
TNFSF11	188787	595	67	850440	234990	0	4	1	0	42	7	11649536	1.576322e-02	1
SETD2	593886	365	46	6841193	1861270	0	8	0	0	22	1	11289964	1.597490e-02	1
UBE2M	2673870	276	11	509891	130177	0	2	0	0	50	15	25373325	1.639855e-02	1
LPAR3	340292	614	-7	929889	267441	0	4	1	0	50	14	18394122	1.662349e-02	1
NFIX	1914702	221	41	1179053	347263	0	3	1	0	50	10	22784332	1.675303e-02	1
PTPN11	704590	167	43	1649033	412165	0	7	0	0	50	15	23206195	1.731735e-02	1
OR52M1	190769	879	-1	798966	267441	0	5	0	0	50	17	20763418	1.748548e-02	1
FBXO22	550701	339	47	1108183	314066	0	3	0	0	50	11	24609794	1.765491e-02	1
FUCA1	903441	254	32	1255518	345771	0	5	0	0	50	8	19025238	1.775630e-02	1
CHD8	710667	380	34	6915793	1928783	0	12	0	0	8	4	6025442	1.781576e-02	1
