gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
DEFA4	131884	628	11	389200	118160	0	9	0	0	50	127	31384640	0	0
KEAP1	1996822	207	30	2469600	714000	0	109	2	0	50	66	30036720	0	0
KRAS	259193	512	16	959840	231280	0	185	0	0	50	120	32278400	0	0
PMF1	2280435	211	36	840560	227920	0	3	0	0	50	100	35469280	0	0
TMEM102	1906324	206	33	1896720	682080	0	4	1	0	50	63	37033920	0	0
TP53	2069567	213	34	1729840	477680	0	325	4	0	10	11	3539760	0	0
EGFR	423489	336	-13	5314960	1403360	0	87	3	0	1	5	1994160	1.110223e-16	2.991575e-13
RB1	349930	450	41	3868480	988400	0	36	1	0	6	3	4237520	2.220446e-16	5.235257e-13
RBM10	819569	NaN	38	3792320	1047760	0	44	1	0	6	8	4902800	6.661338e-16	1.396068e-12
STK11	2214581	234	29	1761760	486080	0	88	3	0	8	12	6726720	1.443290e-15	2.722333e-12
SMARCA4	1984564	190	40	6807360	1910160	0	53	3	0	10	10	9109520	2.109424e-15	3.617086e-12
NF1	462449	396	26	11675440	3120320	0	85	5	0	0	5	3120320	1.520151e-11	2.389423e-08
SMAD4	156084	422	41	2247840	606480	0	26	2	0	16	18	9466800	1.510557e-08	2.191703e-05
COL11A1	37620	742	-20	7540960	2273600	0	168	19	0	15	71	9765840	1.842539e-08	2.482426e-05
CDKN2A	225405	357	-15	1335600	347760	0	30	2	0	11	23	5108880	7.664332e-08	9.637642e-05
COL25A1	157338	437	-5	2828000	852880	0	43	5	0	17	37	10543680	1.280606e-07	1.509674e-04
SETD2	593886	365	46	10270960	2794400	0	47	1	0	2	3	3709440	2.263038e-07	2.510907e-04
ARID1A	975965	182	27	8958880	2690240	0	36	1	0	1	4	3889760	7.695095e-07	8.063605e-04
B2M	673122	428	36	496160	132160	0	10	1	0	11	38	8596560	2.925128e-06	2.903883e-03
ATM	415837	582	16	12654320	3169600	0	55	2	0	1	4	3823120	4.785243e-06	4.512963e-03
MGA	765304	256	41	12122320	3484880	0	53	6	0	1	7	4044880	6.029316e-06	5.415474e-03
BRAF	305191	616	25	3106880	876400	0	49	1	0	6	26	6420960	8.259839e-06	7.081685e-03
REG1B	10958	1389	-22	705600	169680	0	27	1	0	50	298	27573280	1.693740e-05	1.389014e-02
TCEAL5	455954	NaN	17	843360	206640	0	17	1	0	6	2	1680560	4.040147e-05	3.175219e-02
FAM71A	409070	224	26	2293200	705600	0	22	0	0	6	7	4033680	4.728464e-05	3.567532e-02
ASCL3	548433	243	21	717360	210000	0	7	0	0	50	70	32627840	5.261135e-05	3.816751e-02
NCKAP5L	1560163	231	56	5047280	1755040	0	19	1	0	3	1	5810000	5.743822e-05	4.012592e-02
ZFP36L1	543449	259	46	1298640	416640	0	14	2	0	42	68	24905440	7.293698e-05	4.913348e-02
FERD3L	103347	812	-15	651840	196560	0	21	3	0	6	18	2825200	7.907561e-05	5.143187e-02
TAF1L	567793	334	5	7226800	1984640	0	77	14	0	29	85	22230320	1.033215e-04	6.496165e-02
MS4A1	333232	899	13	1218000	324240	0	13	0	0	14	24	8925280	1.284590e-04	7.816106e-02
CD163	665695	608	13	4690000	1248800	0	44	5	0	5	20	6619760	1.620810e-04	9.553659e-02
SLC32A1	450934	551	36	2021600	636160	0	25	3	0	34	66	21271600	1.870570e-04	1.069172e-01
U2AF1	687433	279	59	1097040	287280	0	13	1	0	50	53	29892800	2.428917e-04	1.347478e-01
MET	558228	262	2	5684000	1551760	0	24	5	0	15	26	12680640	2.711978e-04	1.446383e-01
ATF7IP	339265	882	12	5020400	1479520	0	19	1	0	6	8	4427360	2.760565e-04	1.446383e-01
LAX1	515575	280	39	1662080	448000	0	19	2	0	10	7	5027680	3.067175e-04	1.563596e-01
ANTXR1	338803	288	14	2409120	675360	0	17	2	0	49	65	30583840	3.477874e-04	1.726307e-01
SUN1	642960	310	29	3418240	968240	0	18	2	0	6	6	5647040	3.592818e-04	1.737634e-01
MAGED2	257482	NaN	20	2429280	710640	0	14	0	0	11	6	6003760	4.026061e-04	1.898489e-01
SPRR2D	687290	704	30	295680	78960	0	7	0	0	50	111	33708640	4.634500e-04	2.132096e-01
CD1A	120861	833	3	1326080	360640	0	20	2	0	32	83	18603200	5.421954e-04	2.434974e-01
SULT6B1	545763	253	35	1123920	260400	0	10	0	0	50	90	35441840	5.596408e-04	2.454871e-01
LDB2	55867	983	2	1683360	435120	0	20	1	0	8	13	4909520	6.689866e-04	2.867824e-01
PLG	181774	624	-9	3335360	876400	0	36	5	0	8	31	9287040	6.985397e-04	2.927968e-01
CTNNB1	305811	448	8	3133760	908320	0	23	0	0	10	11	7015680	7.384125e-04	3.027812e-01
TRO	244459	NaN	-8	5766880	1772960	0	36	5	0	13	15	8358000	7.826025e-04	3.140734e-01
EPHA6	89830	1046	-18	4726960	1284080	0	59	7	0	10	35	6782160	8.012412e-04	3.148544e-01
KRTAP5-3	NaN	NaN	NaN	943600	264320	0	13	1	0	50	237	62628160	8.196070e-04	3.153506e-01
