gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
ASPN	NaN	NaN	NaN	1352010	341256	0	2	0	0	50	23	54018704	0	0
CABP5	993450	433	26	625154	158578	0	2	0	0	50	13	33560214	0	0
CD68	1957426	194	24	1191022	377888	0	2	0	0	50	8	29753378	0	0
CDKN1B	791330	136	44	686368	188462	0	6	0	0	50	5	27500028	0	0
FRG1	49764	1059	-15	956288	216418	0	2	0	0	50	15	35375426	0	0
GAR1	212757	462	28	753848	226540	0	2	0	0	50	4	24502470	0	0
GAST	1617880	323	9	353788	103148	0	2	0	0	50	24	32696952	0	0
IQCF3	849777	453	39	547070	145564	0	2	0	0	50	6	24640322	0	0
KLK2	655673	589	25	947612	268474	0	2	0	0	50	14	33366450	0	0
MLF2	2816186	232	48	882060	244374	0	2	0	0	50	7	34295746	0	0
MYL6	2878044	171	40	597680	144118	0	2	0	0	50	3	28061076	0	0
OR51D1	212267	935	-3	1062328	353306	0	2	0	0	50	19	28896382	0	0
PTEN	259678	300	34	1459496	339328	0	19	0	0	50	4	24692860	0	0
RYBP	102513	607	32	760596	206778	0	7	0	0	50	5	31509786	0	0
SPOP	943930	348	28	1337550	341256	0	56	0	0	50	5	25510814	0	0
TP53	2069567	213	34	1488898	411146	0	60	0	0	37	6	19335430	0	0
TTLL12	624112	241	48	2250458	625636	0	2	1	0	50	10	30514456	0	0
YWHAQ	700762	154	40	869528	226540	0	2	0	0	50	11	26677254	0	0
ZNF597	1361831	303	29	1489862	371140	0	2	0	0	50	6	29162928	0	0
FOXA1	67481	487	-58	1569392	488266	0	29	3	0	10	6	4312936	1.965095e-14	1.853281e-11
KDM6A	59340	NaN	36	4919774	1324054	0	10	0	0	41	4	25784108	1.997100e-05	1.793776e-02
ZMYM3	728738	NaN	25	4769390	1342852	0	11	0	0	50	10	43183826	2.133710e-05	1.829365e-02
SMARCA1	278446	NaN	-7	3766348	949058	0	8	0	0	50	9	28159886	3.621953e-05	2.970316e-02
CDK12	1409087	239	28	5046540	1496610	0	15	1	0	50	9	28914698	6.109935e-05	4.801900e-02
ATM	415837	582	16	10891754	2728120	0	22	2	0	29	6	17651322	9.972247e-05	7.523861e-02
CASZ1	809310	433	27	5964750	1777134	0	8	0	0	37	6	28789378	1.375568e-04	9.979220e-02
ZFHX3	122465	495	-11	12502598	3617410	0	11	1	0	38	4	26041014	1.913061e-04	1.336450e-01
LCE2D	169158	818	24	380298	107004	0	4	0	0	50	9	27327954	3.214224e-04	2.165239e-01
CTNNB1	305811	448	8	2697272	781804	0	11	0	0	50	8	25137746	3.854103e-04	2.506762e-01
IL6ST	317374	438	51	3240968	832414	0	6	0	0	50	7	31725240	4.271446e-04	2.685600e-01
CSMD3	9197	1295	-29	13090638	3492090	0	21	2	0	21	6	14708230	4.493067e-04	2.733814e-01
ETV3	895723	423	31	1768458	523452	0	5	0	0	50	5	25765792	4.975205e-04	2.932572e-01
CLEC1A	396940	445	-1	1000150	250640	0	5	0	0	45	3	24399322	5.168020e-04	2.953915e-01
LCE1F	64902	818	18	400060	114716	0	3	0	0	50	9	27991668	6.225739e-04	3.414741e-01
PPP2R2B	309460	509	1	1750624	424160	0	6	0	0	50	9	34175246	6.336334e-04	3.414741e-01
CPLX4	293564	549	20	584184	125802	0	2	0	0	42	6	25509368	1.069917e-03	5.605769e-01
NKX3-1	378220	544	16	784214	243892	0	4	0	0	50	8	33711562	1.211322e-03	6.175126e-01
KRT25	836683	269	-10	1556860	442958	0	6	1	0	50	8	22390346	1.454578e-03	7.220066e-01
PIWIL1	224466	621	-26	3048650	806386	0	7	0	0	50	9	35619318	1.827682e-03	8.690310e-01
CD5L	116471	778	28	1205000	333544	0	5	1	0	15	2	8129412	1.849641e-03	8.690310e-01
GRM1	92600	941	-13	4106158	1215122	0	8	1	0	39	8	26463246	1.904950e-03	8.690310e-01
SMAD4	156084	422	41	1934748	522006	0	6	0	0	50	6	33580458	1.935071e-03	8.690310e-01
IRF4	208360	631	48	1586262	420786	0	5	1	0	41	3	18034994	2.042706e-03	8.920781e-01
ERF	790787	299	37	1790148	608766	0	3	0	0	50	10	34504934	2.128056e-03	8.920781e-01
TBXA2R	2164055	269	35	1358276	496942	0	5	0	0	50	8	27138046	2.128274e-03	8.920781e-01
PARVG	201266	327	30	1187648	321976	0	4	0	0	50	2	26413600	2.199216e-03	9.017742e-01
HRAS	1970020	236	42	744690	208224	0	4	0	0	50	8	27429656	2.314583e-03	9.288866e-01
ZNF827	110708	1103	30	3716702	1037746	0	5	1	0	50	4	30864388	2.403326e-03	9.444068e-01
CD200R1L	240755	616	6	943756	265100	0	3	0	0	50	7	30125964	2.629891e-03	1
RPL11	960799	225	28	645398	165808	0	3	0	0	50	11	27856708	2.660822e-03	1
PROKR2	504598	489	14	1297544	376924	0	3	0	0	50	4	30049808	2.865703e-03	1
NTM	9703	1115	-5	1342852	385118	0	7	0	0	50	20	32102164	2.879984e-03	1
UBLCP1	126518	284	33	1162584	279078	0	3	0	0	50	4	26072826	3.046535e-03	1
IFNA16	193208	498	-3	650218	176894	0	3	0	0	50	8	24840834	3.822896e-03	1
LCE1D	64902	818	18	396686	110860	0	3	0	0	50	9	27991668	3.927907e-03	1
C3orf62	1661046	201	34	930260	243892	0	3	0	0	50	6	27928526	4.074217e-03	1
PLIN3	765978	187	52	1484560	442958	0	3	0	0	50	5	24628754	4.355233e-03	1
HOXB13	727820	415	24	942310	299804	0	4	0	0	50	13	40098062	4.453054e-03	1
EHHADH	775543	587	35	2450970	727338	0	6	0	0	50	9	28242790	4.464135e-03	1
LILRB5	717623	458	-6	2018134	619370	0	8	1	0	50	13	24408962	4.555631e-03	1
TMPRSS2	266466	454	61	1878836	504172	0	4	1	0	35	9	19325790	4.572103e-03	1
TIMM22	1306390	270	27	668052	198102	0	2	0	0	50	4	26472404	4.638876e-03	1
SLC10A2	199120	713	24	1195360	347522	0	4	0	0	50	21	63185380	4.944448e-03	1
MSGN1	135007	1245	10	637686	202440	0	2	0	0	50	6	30596878	4.972436e-03	1
