gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
ARID1A	975965	182	27	6175228	1854344	0	82	1	0	2	1	3155164	0	0
CASP8	571730	386	37	1651694	373648	0	13	0	0	50	36	23691908	0	0
IRF2	207866	400	55	998196	254760	0	14	0	0	50	32	22306554	0	0
KRAS	259193	512	16	661604	159418	0	29	0	0	50	51	22249040	0	0
LSM2	2509866	183	32	278692	73340	0	2	0	0	50	29	24357758	0	0
MSMB	406207	579	41	363612	52110	0	2	0	0	50	41	24900088	0	0
NEDD8	944836	220	40	236618	63304	0	2	0	0	50	47	25094246	0	0
RHOA	1623187	201	33	547734	144750	0	24	0	0	50	29	21263968	0	0
SMAD4	156084	422	41	1549404	418038	0	31	1	0	50	43	26892234	0	0
SPDEF	890476	207	34	932190	258234	0	4	1	0	50	46	23312084	0	0
TP53	2069567	213	34	1192354	329258	0	215	2	0	29	29	11108308	1.554312e-15	2.617628e-12
CDH1	924096	240	30	2430256	706766	0	38	2	0	50	32	19697966	1.665335e-15	2.617628e-12
PIK3CA	401889	613	11	3047084	759262	0	59	1	0	46	42	21587436	2.587042e-12	3.753598e-09
APC	247811	399	28	7782918	2166618	0	46	5	0	25	18	11425600	1.596456e-09	2.150883e-06
PTEN	259678	300	34	1168808	271744	0	26	2	0	10	8	2837872	3.283520e-09	4.128917e-06
BCOR	377184	NaN	42	4760152	1405040	0	23	2	0	26	28	16247512	9.804167e-08	1.155789e-04
ACVR2A	90992	951	-2	1459466	372490	0	22	1	0	4	11	2215640	1.300603e-07	1.443058e-04
PIGR	467960	385	26	2088646	615284	0	12	2	0	50	29	22252514	3.246802e-07	3.402288e-04
MAP2K7	952640	320	27	1179230	328486	0	21	0	0	50	52	22696028	3.920948e-07	3.892469e-04
MUC6	1429028	466	43	6499468	2127632	0	34	5	0	23	33	14638278	8.541820e-07	8.055791e-04
CDKN2A	225405	357	-15	920610	239706	0	15	2	0	11	10	3521478	8.474699e-06	7.611894e-03
EDNRB	63780	954	31	1334788	374420	0	25	3	0	20	34	8973728	1.743974e-05	1.495220e-02
SCN10A	304612	680	21	5409018	1512348	0	32	2	0	7	6	6823708	1.962011e-05	1.600146e-02
DCLK1	82515	1033	-14	2035764	579000	0	33	5	0	9	12	4193890	2.054045e-05	1.600146e-02
CRX	881316	336	39	798634	257462	0	11	0	0	37	16	17048076	2.120859e-05	1.600146e-02
PLEKHA6	554014	370	33	2893456	848042	0	12	2	0	50	36	25652788	2.695947e-05	1.955806e-02
ARID2	820796	602	10	4998700	1472204	0	27	4	0	4	7	5127238	2.899434e-05	2.025523e-02
HLA-B	2552688	347	28	1002442	293360	0	11	0	0	50	78	31997470	3.561719e-05	2.399327e-02
OR4N2	275024	858	-57	817934	250900	0	15	2	0	23	29	9246630	4.507724e-05	2.931886e-02
FBXW7	117295	501	51	2356144	631496	0	16	1	0	50	58	26031454	4.917641e-05	2.992713e-02
ELF3	751933	168	31	1053394	275990	0	8	0	0	50	32	21879638	4.918572e-05	2.992713e-02
RNF43	782135	399	22	2097524	663148	0	22	0	0	0	0	663148	6.045945e-05	3.563707e-02
CTNNB1	305811	448	8	2160056	626092	0	19	2	0	44	36	18062484	6.596370e-05	3.770325e-02
CTCF	1074126	147	45	2062784	512608	0	10	0	0	50	23	24369338	1.133506e-04	6.288292e-02
AMPH	167080	639	7	1964354	548506	0	18	2	0	50	43	23532490	1.257673e-04	6.777781e-02
GXYLT1	172471	684	-9	1239060	325398	0	9	0	0	9	8	5591596	2.684603e-04	1.406583e-01
NHLRC1	487819	397	-1	1031778	346242	0	9	0	0	50	24	21191014	2.988491e-04	1.523484e-01
PLK1	530660	509	35	1653624	488676	0	14	0	0	17	22	11847112	3.811617e-04	1.891966e-01
PEG3	NaN	NaN	NaN	4064966	1031392	0	36	5	0	44	94	39226092	5.177863e-04	2.504227e-01
ERBB3	2693176	215	38	3845718	1094310	0	29	2	0	50	34	19665542	6.082766e-04	2.742876e-01
CSGALNACT1	171847	356	17	1485714	393720	0	10	1	0	29	14	11625162	6.097531e-04	2.742876e-01
KCND2	49438	962	7	1713068	502186	0	16	2	0	14	14	8753708	6.107560e-04	2.742876e-01
ABCC9	529911	984	-17	4488408	1232112	0	36	3	0	8	5	3781256	7.205986e-04	3.160914e-01
TP53BP1	794398	368	43	5474252	1522384	0	14	0	0	26	8	15268230	8.077683e-04	3.462756e-01
CYP7B1	8894	1018	22	1408514	375964	0	15	0	0	50	40	22939980	1.011295e-03	4.238898e-01
KCTD9	178615	515	22	1107820	297992	0	8	0	0	50	26	23051534	1.055836e-03	4.291134e-01
BMPR2	369483	417	30	2864120	800950	0	16	1	0	23	23	12625288	1.069257e-03	4.291134e-01
DDX43	723493	232	21	1847782	480956	0	12	0	0	8	3	3916356	1.100808e-03	4.325717e-01
ACVR1B	493265	371	27	1516594	427688	0	8	1	0	50	21	17965598	1.153125e-03	4.438827e-01
LCE2B	169158	818	24	303010	87236	0	7	0	0	50	62	21885042	1.241304e-03	4.682695e-01
OCIAD1	257328	372	63	758104	177560	0	5	1	0	50	36	22656270	1.306032e-03	4.787216e-01
KLF3	294258	364	39	958438	266726	0	7	0	0	23	14	7747020	1.319771e-03	4.787216e-01
COLEC12	587478	572	14	2058152	564718	0	12	2	0	50	43	23134138	1.368060e-03	4.798760e-01
OR5M3	NaN	NaN	NaN	832988	234688	0	12	1	0	50	100	43221192	1.373836e-03	4.798760e-01
DAO	494991	393	49	978510	276762	0	9	0	0	50	45	26179678	1.429793e-03	4.903412e-01
TGFBR2	80018	417	-9	1652080	440426	0	15	2	0	50	82	23542140	1.728757e-03	5.717216e-01
MAGEE2	117293	NaN	-10	1423568	396808	0	10	0	0	24	35	13858558	1.752223e-03	5.717216e-01
PSG11	263820	178	-32	925628	264796	0	10	0	0	30	51	13651276	1.758024e-03	5.717216e-01
THYN1	270350	623	21	658516	159032	0	5	0	0	50	28	19406536	1.823433e-03	5.829423e-01
POP1	635159	368	44	2837100	793230	0	15	1	0	50	37	24534932	1.868759e-03	5.844924e-01
CHRNA6	594393	454	34	1370686	374420	0	8	0	0	32	12	17379650	1.890258e-03	5.844924e-01
C2orf42	677043	143	42	1585688	448918	0	9	1	0	50	47	22748138	1.925180e-03	5.856895e-01
GNGT1	228127	480	-12	218862	53268	0	3	0	0	50	48	22849270	1.959021e-03	5.865248e-01
IAPP	NaN	NaN	NaN	247812	74112	0	5	0	0	50	99	43060616	2.045184e-03	6.027541e-01
LARP4B	378329	515	9	2055450	588264	0	11	0	0	3	1	1397320	2.447278e-03	7.101624e-01
SAMSN1	157937	898	56	1073080	260936	0	8	1	0	50	26	18033534	2.533751e-03	7.241153e-01
ATP1B1	231221	416	19	860394	218862	0	6	0	0	7	1	3050558	2.574747e-03	7.248489e-01
SYNGR2	527017	217	27	617600	180262	0	6	0	0	50	30	23240288	2.677725e-03	7.398647e-01
PTK2B	326685	491	30	2883806	763894	0	12	0	0	16	5	8579236	2.734424e-03	7.398647e-01
CSRNP3	104412	947	2	1616954	437338	0	11	3	0	16	6	5707010	2.780293e-03	7.398647e-01
FCRL3	180228	829	21	2031904	586334	0	15	4	0	23	19	8232994	2.784985e-03	7.398647e-01
CEP57	298879	467	2	1437078	349716	0	7	0	0	46	39	25465578	2.870451e-03	7.399364e-01
LRFN3	984653	303	21	1584530	609880	0	13	2	0	50	32	22952332	2.873060e-03	7.399364e-01
OR4P4	1295	1091	-20	854604	231600	0	10	0	0	18	14	5107166	2.931973e-03	7.399364e-01
PIK3R3	1116382	318	20	1339806	311502	0	5	1	0	50	32	26332148	2.942171e-03	7.399364e-01
NBEA	38939	1070	11	8270050	2231852	0	42	6	0	15	21	10598402	2.982697e-03	7.402582e-01
CBFB	1068656	125	48	570894	141276	0	4	0	0	50	20	22066076	3.140921e-03	7.619155e-01
KLHDC8B	1812695	203	45	937208	314590	0	6	0	0	50	42	21637230	3.150748e-03	7.619155e-01
DDI1	NaN	NaN	NaN	1059570	319608	0	14	1	0	50	100	43306112	3.273106e-03	7.814852e-01
DHX16	2115149	171	41	2887666	858464	0	12	1	0	12	13	7588374	3.318471e-03	7.824125e-01
PZP	352696	301	19	4153360	1163018	0	21	3	0	50	40	26678004	3.394494e-03	7.904561e-01
TAF1L	567793	334	5	4981330	1367984	0	23	5	0	50	56	26071212	3.943759e-03	9.071608e-01
P2RY6	578209	176	56	850744	296834	0	8	0	0	50	32	20700022	4.025718e-03	9.148565e-01
ZDHHC8	503106	277	64	2195568	758490	0	9	1	0	50	24	18732966	4.285960e-03	9.624021e-01
BRWD1	383347	235	30	6801706	1742018	0	12	1	0	25	12	15058632	4.483938e-03	9.950122e-01
ZWINT	65824	1191	-19	793616	211528	0	10	1	0	38	81	17701188	4.564421e-03	9.997775e-01
CHD4	2790851	179	51	5420598	1405812	0	27	3	0	50	48	29014462	4.626461e-03	9.997775e-01
MYCT1	188249	600	-9	632654	194158	0	8	1	0	39	46	20217136	4.664427e-03	9.997775e-01
LHFPL4	858637	425	36	666622	204194	0	6	0	0	50	41	24119982	4.985227e-03	1
WDR47	942575	216	19	2602026	686694	0	10	1	0	50	39	19613046	4.987704e-03	1
GPSM3	2119974	392	28	436952	140890	0	7	0	0	50	59	25777466	5.003014e-03	1
ABCB1	287293	822	0	3578606	996652	0	22	3	0	50	66	21430334	5.012648e-03	1
CADM3	99569	785	14	1203162	342768	0	10	1	0	50	44	20029154	5.064233e-03	1
PIK3R1	48999	619	32	2190936	543102	0	6	0	0	12	7	6405670	5.093603e-03	1
CPXM2	147419	771	10	2106016	584018	0	16	1	0	50	48	20972538	5.408360e-03	1
