gene	nr_patients	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Splice_Site	Translation_Start_Site
SMARCC2	136.0	8.0	2.0	2.0	0.0	103.0	15.0	0.0	6.0	0.0
SPRY4	28.0	1.0	0.0	0.0	0.0	25.0	1.0	0.0	1.0	0.0
FAM98C	37.0	2.0	0.0	0.0	0.0	31.0	2.0	0.0	1.0	1.0
ENTPD1	49.0	3.0	0.0	0.0	0.0	37.0	6.0	0.0	3.0	0.0
SLC22A23	58.0	1.0	2.0	0.0	0.0	50.0	4.0	0.0	1.0	0.0
ACSM2A	169.0	2.0	2.0	0.0	0.0	146.0	13.0	0.0	6.0	0.0
DIS3L2	86.0	4.0	0.0	0.0	0.0	73.0	5.0	1.0	3.0	0.0
KLHL21	36.0	0.0	1.0	0.0	0.0	32.0	3.0	0.0	0.0	0.0
ZNF853	18.0	0.0	0.0	0.0	0.0	16.0	2.0	0.0	0.0	0.0
HYAL2	37.0	0.0	0.0	0.0	0.0	34.0	2.0	0.0	1.0	0.0
SLC35G5	47.0	2.0	0.0	0.0	0.0	43.0	2.0	0.0	0.0	0.0
BICDL1	48.0	2.0	1.0	1.0	0.0	37.0	5.0	0.0	2.0	0.0
MKNK1	35.0	2.0	0.0	1.0	0.0	31.0	0.0	0.0	1.0	0.0
C4ORF50	41.0	0.0	0.0	1.0	0.0	35.0	3.0	0.0	2.0	0.0
PWP2	64.0	2.0	3.0	0.0	0.0	56.0	1.0	0.0	2.0	0.0
KIF5A	155.0	2.0	0.0	0.0	0.0	135.0	11.0	0.0	7.0	0.0
PCDHGA6	155.0	2.0	0.0	0.0	0.0	137.0	16.0	0.0	0.0	0.0
EML5	191.0	5.0	2.0	2.0	0.0	160.0	17.0	0.0	5.0	0.0
TMEM158	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
BABAM1	24.0	1.0	0.0	0.0	0.0	20.0	2.0	0.0	1.0	0.0
SNRPG	7.0	0.0	0.0	0.0	0.0	6.0	1.0	0.0	0.0	0.0
RBP4	21.0	0.0	0.0	0.0	0.0	20.0	1.0	0.0	0.0	0.0
